x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanGreyhole,upGreyhole,lowGreyhole,meanSinkhole,upSinkhole,lowSinkhole,meanSelectiveJam,upSelectiveJam,lowSelectiveJam,meanPosSpoofing,upPosSpoofing,lowPosSpoofing,meanAllAttacks,upAllAttacks,lowAllAttacks
1,536213.1,1261146.1586372168,-188719.9586372167,527075.1833333333,1252209.3208007922,-198058.9541341255,534831.35,1259766.4218642197,-190103.72186421975,479797.43333333335,1205064.7538196777,-245469.88715301105,536213.1,1261146.1586372168,-188719.9586372167,479797.43333333335,1205064.7538196777,-245469.88715301105
2,547135.4666666667,1256282.6583596556,-162011.7250263223,537654.8833333333,1247007.0694518792,-171697.30278521264,554204.2833333333,1263978.942476647,-155570.3758099802,526689.2666666667,1237112.346453378,-183733.81312004442,547135.4666666667,1256282.6583596556,-162011.7250263223,526689.2666666667,1237112.346453378,-183733.81312004442
3,637749.1333333333,1561676.7088200187,-286178.4421533521,627284.35,1551454.3602234754,-296885.66022347554,643388.7166666667,1568261.561650209,-281484.12831687555,594415.6,1521668.532366973,-332837.33236697316,637749.1333333333,1561676.7088200187,-286178.4421533521,594415.6,1521668.532366973,-332837.33236697316
4,903815.3666666667,1989971.6566151988,-182340.92328186543,891981.6166666667,1978665.1161905376,-194701.88285720418,913258.1166666667,2000479.7831188918,-173963.54978555837,859854.1666666666,1950614.37812101,-230906.04478767666,903815.3666666667,1989971.6566151988,-182340.92328186543,859854.1666666666,1950614.37812101,-230906.04478767666
5,867973.4333333333,1956190.3028120212,-220243.43614535453,867973.4333333333,1956190.3028120212,-220243.43614535453,869112.4666666667,1958555.612915717,-220330.6795823836,849054.1333333333,1939721.540477194,-241613.2738105273,867973.4333333333,1956190.3028120212,-220243.43614535453,849054.1333333333,1939721.540477194,-241613.2738105273
6,886825.7666666667,1991264.0133084315,-217612.47997509793,877483.1166666667,1982438.6532909167,-227472.4199575833,895015.2333333333,2000946.4776928052,-210916.0110261388,866315.0,1972950.067127705,-240320.0671277051,886825.7666666667,1991264.0133084315,-217612.47997509793,866315.0,1972950.067127705,-240320.0671277051
7,808356.5666666667,1806567.951695388,-189854.81836205465,797617.2,1796284.1336561833,-201049.73365618323,815627.4333333333,1815477.5671078493,-184222.7004411827,785703.6666666666,1785695.6795484992,-214288.3462151658,808356.5666666667,1806567.951695388,-189854.81836205465,785703.6666666666,1785695.6795484992,-214288.3462151658
8,738685.2,1568061.3289097166,-90690.92890971678,727577.3,1557367.1959094056,-102212.59590940538,745372.2,1575958.4274036612,-85214.02740366128,731059.9333333333,1563974.7601528452,-101854.89348617836,738685.2,1568061.3289097166,-90690.92890971678,731059.9333333333,1563974.7601528452,-101854.89348617836
9,847221.5666666667,1858324.8122807539,-163881.67894742056,834921.9166666666,1846488.4831835527,-176644.6498502195,853783.2166666667,1866331.5106439423,-158765.07731060905,806618.8,1819973.283093852,-206735.6830938519,847221.5666666667,1858324.8122807539,-163881.67894742056,806618.8,1819973.283093852,-206735.6830938519
10,731730.0,1624208.3871552325,-160748.38715523249,711507.1333333333,1603419.8001792887,-180405.533512622,740471.85,1635583.6417602277,-154639.94176022767,680389.0666666667,1574446.0159130692,-213667.88257973606,731730.0,1624208.3871552325,-160748.38715523249,680389.0666666667,1574446.0159130692,-213667.88257973606
