x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanGreyhole,upGreyhole,lowGreyhole,meanSinkhole,upSinkhole,lowSinkhole,meanSelectiveJam,upSelectiveJam,lowSelectiveJam,meanPosSpoofing,upPosSpoofing,lowPosSpoofing,meanAllAttacks,upAllAttacks,lowAllAttacks
1,20275697.033333335,27629878.061740704,12921516.004925966,243597.1,551077.2181534141,-63883.0181534141,243597.1,551077.2181534141,-63883.0181534141,74695.13333333333,156420.40131902444,-7030.134652357796,243597.1,551077.2181534141,-63883.0181534141,74695.13333333333,156420.40131902444,-7030.134652357796
2,19660354.7,27048993.91526208,12271715.484737918,286133.11666666664,660233.2916138549,-87967.05828052171,286133.11666666664,660233.2916138549,-87967.05828052171,71745.1,150416.91217375497,-6926.7121737549605,294867.0333333333,669284.1548819168,-79550.08821525017,71745.1,150416.91217375497,-6926.7121737549605
3,20167616.266666666,27671307.550797712,12663924.98253562,293286.05,598821.0352495994,-12248.935249599395,293286.05,598821.0352495994,-12248.935249599395,118015.73333333334,230725.84499446087,5305.621672205787,303929.26666666666,610295.2900184261,-2436.7566850928124,118015.73333333334,230725.84499446087,5305.621672205787
4,19520347.4,27082580.454884127,11958114.34511587,334349.26666666666,683534.1998840915,-14835.66655075812,334349.26666666666,683534.1998840915,-14835.66655075812,143808.76666666666,293568.9383274064,-5951.40499407312,343302.0333333333,692704.4328861807,-6100.36621951405,143808.76666666666,293568.9383274064,-5951.40499407312
5,19151267.633333333,26621942.836550854,11680592.430115812,353201.15,676580.8120047544,29821.48799524561,369872.75,694197.6524976911,45547.8475023089,149115.46666666667,292830.14954734885,5400.783785984502,388861.1,721725.4495389909,55996.75046100916,149115.46666666667,292830.14954734885,5400.783785984502
6,19739420.033333335,27111732.001067005,12367108.065599665,376879.13333333336,754389.7946091474,-631.5279424806358,376879.13333333336,754389.7946091474,-631.5279424806358,149350.3,310066.3850479926,-11365.785047992598,408972.13333333336,798141.496215895,19802.77045077161,149350.3,310066.3850479926,-11365.785047992598
7,19626685.3,26860100.058429986,12393270.541570015,432262.5333333333,919132.7924873336,-54607.725820666994,433335.8,920405.5942099812,-53733.994209981174,137436.36666666667,269175.41215271724,5697.321180616069,468933.8333333333,967629.7379230473,-29762.071256380645,137436.36666666667,269175.41215271724,5697.321180616069
8,21587705.133333333,29244072.22902453,13931338.037642134,525546.5833333334,1253200.752971415,-202107.5863047483,525546.5833333334,1253200.752971415,-202107.5863047483,121940.4,239885.39882247552,3995.401177524458,558537.0,1291830.0282104006,-174756.0282104006,121940.4,239885.39882247552,3995.401177524458
9,20294020.7,27716059.654866643,12871981.745133355,610697.9666666667,1612028.1088604273,-390632.17552709393,610697.9666666667,1612028.1088604273,-390632.17552709393,59946.63333333333,142377.55997462815,-22484.293307961503,632393.8333333334,1636275.2194444775,-371487.5527778106,59946.63333333333,142377.55997462815,-22484.293307961503
10,18765516.833333332,26073747.411498494,11457286.25516817,487759.31666666665,1184315.8768797196,-208797.24354638613,487759.31666666665,1184315.8768797196,-208797.24354638613,81825.83333333333,175074.46338953287,-11422.796722866231,520453.93333333335,1222998.2716264622,-182090.40495979553,81825.83333333333,175074.46338953287,-11422.796722866231
11,19377637.8,26892246.725624833,11863028.874375168,342003.8333333333,691792.6271287951,-7784.960462128511,346530.51666666666,697720.6744111364,-4659.64107780304,124986.23333333334,269740.58749468846,-19768.120828021783,378519.06666666665,745620.6253524026,11417.507980930735,124986.23333333334,269740.58749468846,-19768.120828021783
12,19697117.866666667,27684281.385404676,11709954.347928658,400243.5833333333,806184.8325852932,-5697.66591862659,417609.48333333334,828619.0761720892,6599.890494577412,134921.26666666666,291796.5924619073,-21954.05912857398,434010.63333333336,852061.2047532129,15960.061913453916,134921.26666666666,291796.5924619073,-21954.05912857398
13,19332744.6,26483023.510164917,12182465.689835086,360794.81666666665,692345.139710479,29244.49362285441,360952.68333333335,692499.0162324434,29406.350434223306,174698.1,378713.4190320688,-29317.219032068766,394717.26666666666,733241.8724110778,56192.66092225548,174698.1,378713.4190320688,-29317.219032068766
