x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanDirInterferenceLie,upDirInterferenceLie,lowDirInterferenceLie,meanInterferenceLiehide,upInterferenceLiehide,lowInterferenceLiehide,meanUserDirLie,upUserDirLie,lowUserDirLie
10,1.78813844,2.2021308481257336,1.3741460318742664,1.6280520959999998,2.0155641469822396,1.24054004501776,1.78813844,2.2021308481257336,1.3741460318742664,1.445200996,1.760811386726452,1.129590605273548
110,6.954136966,8.014855048871564,5.8934188831284375,5.815786531,6.767079528305237,4.864493533694763,6.954136966,8.014855048871564,5.8934188831284375,4.440132272,5.157890777852069,3.72237376614793
210,8.752176075,10.081688963344147,7.422663186655852,7.337680188999999,8.544808217552156,6.130552160447843,8.752176075,10.081688963344147,7.422663186655852,5.856682815999999,6.873410227679086,4.8399554043209125
310,9.297159877,10.631310657079725,7.963009096920277,7.916740805000001,9.067319524472932,6.766162085527069,9.297159877,10.631310657079725,7.963009096920277,6.463839087999999,7.437668906391339,5.4900092696086595
410,9.54182217,10.90682278011592,8.176821559884079,8.066581371,9.251784754787503,6.881377987212497,9.54182217,10.90682278011592,8.176821559884079,6.529091521000001,7.556520071047383,5.501662970952618
510,9.626113575,10.994037232516241,8.258189917483758,8.060297026,9.279828071370275,6.840765980629725,9.626113575,10.994037232516241,8.258189917483758,6.343793493,7.324106938714339,5.363480047285661
610,9.868289854,11.299691461747216,8.436888246252785,8.17147804,9.40977717933407,6.933178900665931,9.868289854,11.299691461747216,8.436888246252785,6.285060087,7.3060380222816,5.2640821517184
710,10.214365543,11.690621031861152,8.738110054138847,8.432861292,9.73973652620085,7.125986057799149,10.214365543,11.690621031861152,8.738110054138847,6.304444306000001,7.353150097043919,5.255738514956082
810,9.450107126999999,10.893199973124634,8.007014280875364,8.121247558,9.427391044853165,6.815104071146836,9.450107126999999,10.893199973124634,8.007014280875364,5.943196196,6.9230750145769075,4.963317377423092
910,9.868666164,11.313732343557955,8.423599984442045,8.090042908000001,9.352083667141851,6.82800214885815,9.868666164,11.313732343557955,8.423599984442045,6.160169335,7.168340556425893,5.151998113574107
1010,9.667735624999999,11.128098490549021,8.207372759450976,7.934086659,9.157367358199561,6.71080595980044,9.667735624999999,11.128098490549021,8.207372759450976,5.888710866,6.846877159016248,4.930544572983752
1110,10.073385477,11.711918607484423,8.434852346515578,7.800002219,9.152355620725922,6.447648817274078,10.073385477,11.711918607484423,8.434852346515578,6.409303744,7.564920944154638,5.253686543845362
1210,9.313667543,10.852480040535806,7.774855045464194,7.235177581,8.49990861959675,5.97044654240325,9.313667543,10.852480040535806,7.774855045464194,5.7634647800000005,6.7793168786162745,4.7476126813837265
1310,9.248266390000001,10.687702472755992,7.80883030724401,7.447830468,8.702669236011477,6.192991699988523,9.248266390000001,10.687702472755992,7.80883030724401,6.100306207,7.1693566944486005,5.0312557195514
1410,8.978153291999998,10.387872086559241,7.568434497440755,6.986505008999999,8.191356971730416,5.781653046269582,8.978153291999998,10.387872086559241,7.568434497440755,5.562096024000001,6.540201239018256,4.583990808981746
1510,8.35010161,9.652970392729607,7.047232827270391,6.702795653,7.892369264601207,5.513222041398793,8.35010161,9.652970392729607,7.047232827270391,5.019027907,5.947590941564079,4.090464872435921
1610,8.416878527000001,9.744195586514405,7.0895614674855985,6.743695264,7.886714308370854,5.600676219629147,8.416878527000001,9.744195586514405,7.0895614674855985,4.974194423,5.862079324886221,4.08630952111378
1710,8.602387262,10.033914700077634,7.170859823922366,6.539089332,7.690400826382802,5.387777837617198,8.602387262,10.033914700077634,7.170859823922366,5.214156988,6.242434506847333,4.185879469152667
1810,8.211239516,9.594953752466498,6.8275252795335,6.450899466,7.655235419294877,5.246563512705123,8.211239516,9.594953752466498,6.8275252795335,5.236746551,6.3484511119505935,4.125041990049407
1910,9.180254918000001,10.755158098336675,7.605351737663327,6.890195635,8.281774920743167,5.498616349256834,9.180254918000001,10.755158098336675,7.605351737663327,5.540004071,6.701682990192525,4.378325151807475
2000,9.142367839,10.618525373908268,7.666210304091733,6.96237023,8.235833378731463,5.688907081268537,9.142367839,10.618525373908268,7.666210304091733,5.5864352639999995,6.6867755902032835,4.486094937796715
