x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanInterferenceAmplifyfalsealarm,upInterferenceAmplifyfalsealarm,lowInterferenceAmplifyfalsealarm,meanInterferenceLiehide,upInterferenceLiehide,lowInterferenceLiehide,meanObsNoise,upObsNoise,lowObsNoise,meanUserDirLie,upUserDirLie,lowUserDirLie
10,1.62824276,1.8983159118068493,1.3581696081931507,1.62824276,1.8983159118068493,1.3581696081931507,1.62824276,1.8983159118068493,1.3581696081931507,1.3217383704999999,1.5455503687924343,1.0979263722075654,1.331756588,1.5446722776663289,1.118840898333671
110,6.8632304065,7.598826965554277,6.127633847445722,6.8632304065,7.598826965554277,6.127633847445722,6.8632304065,7.598826965554277,6.127633847445722,5.258001073,5.848418733012453,4.667583412987547,4.536344185,5.0534654974497695,4.01922287255023
210,3.3772831455,3.7401954197354774,3.0143708712645223,3.396506918,3.7614079411101016,3.0316058948898985,3.4023195179999997,3.768377672441114,3.0362613635588853,2.5848711750000004,2.873846794829653,2.2958955551703477,2.046984101,2.2965413080500285,1.7974268939499713
310,4.8166940745,5.344658343506688,4.288729805493312,4.802348576,5.330671959505519,4.274025192494481,4.777875971,5.309742818501511,4.24600912349849,3.9650352225,4.391920366218868,3.5381500787811317,2.9124019445,3.2349558576105295,2.5898480313894705
410,5.825761866,6.48455844412129,5.16696528787871,5.8656599925,6.523336444078071,5.20798354092193,5.8649126725,6.529120198333358,5.200705146666642,5.213066598999999,5.803305117350113,4.622828080649886,3.5563743774999996,3.9994006632519445,3.1133480917480547
510,5.8294641525,6.462833321418815,5.196094983581185,5.8511355865,6.482518957770866,5.219752215229134,5.8417761785,6.466169534963887,5.217382822036113,5.3256579085,5.910555142200048,4.740760674799953,3.6462716395,4.106002239501132,3.1865410394988687
610,6.46126917,7.179101372376527,5.743436967623472,6.368924787,7.074193947719889,5.663655626280111,6.438764046,7.160681817862298,5.716846274137702,6.1768875415,6.842790934794493,5.510984148205507,4.016357287,4.511444248824725,3.5212703251752746
710,6.908861784,7.667269238884166,6.150454329115834,6.8714103155,7.630367966313386,6.112452664686614,6.9687732855,7.738398449133839,6.199148121866162,6.617465451,7.372921515437523,5.862009386562478,4.2903193755,4.857448346336163,3.7231904046638373
810,6.795977202,7.5788599105857895,6.013094493414211,6.75993972,7.538306357593254,5.981573082406746,6.8039298305,7.594412693453123,6.013446967546878,6.643449356,7.4052784514909975,5.881620260509002,4.159610564499999,4.714162611849399,3.6050585171505998
910,7.3275765155,8.15535119364918,6.499801837350819,7.262721506,8.086883670302646,6.4385593416973546,7.264311372,8.096514431337104,6.432108312662897,6.9874579555,7.776657860591846,6.198258050408154,4.495911028,5.065663536644049,3.9261585193559507
1010,7.210321956,8.026048017480239,6.39459589451976,7.216434373,8.032561113950825,6.400307632049175,7.175554312999999,7.992208995289199,6.358899630710799,6.880049618,7.649790837042052,6.110308398957948,4.273115187,4.810222416489326,3.7360079575106746
1110,7.1983625725,8.07856253639625,6.318162608603749,7.3041439775,8.194429824673984,6.413858130326016,7.3199557,8.227343410542652,6.412567989457349,7.234008233,8.104748360291637,6.363268105708362,4.334752044,4.919368524914604,3.7501355630853963
1210,6.9887705975,7.828286845567023,6.149254349432978,7.000120978,7.835825236599766,6.164416719400234,7.016914659,7.861770396818791,6.172058921181209,7.09109161,7.935566432409281,6.246616787590719,4.242290668,4.837486056062583,3.647095279937417
1310,7.395825072,8.263616070970283,6.528034073029717,7.2977627384999995,8.1604949095737,6.435030567426298,7.385654677,8.251034243533377,6.520275110466623,7.2566321275,8.105102510392417,6.4081617446075825,4.4037789735,4.998926606176226,3.808631340823774
1410,7.296074934,8.1680565754038,6.424093292596201,7.2879187725,8.1539424282819,6.421895116718101,7.3937775875,8.279234430262317,6.5083207447376825,7.2032528295,8.046801653970665,6.359704005029336,4.2360059825,4.807017510608251,3.6649944543917496
1510,7.0757987925,7.890645806388549,6.26095177861145,7.052483457999999,7.861851957059291,6.243114958940708,7.0686294545,7.886853627986681,6.250405281013319,7.159072596,7.984479915700519,6.33366527629948,4.145486216999999,4.7231155106414775,3.5678569233585216
1610,7.04667838,7.909299266474473,6.184057493525528,6.9021271005,7.7401113877946095,6.06414281320539,7.009176754,7.866216370743687,6.152137137256314,7.0009233625,7.856133110728513,6.145713614271487,4.107948659,4.703074006952059,3.5128233110479403
1710,6.84540798,7.697881086202763,5.992934873797237,6.882220641,7.733945284393645,6.030495997606355,6.776235633000001,7.620121761954885,5.932349504045116,6.459844023,7.225292840693609,5.69439520530639,3.857528855,4.415393222516945,3.2996644874830547
1810,6.9846323795,7.865311593587854,6.103953165412146,7.1153531735,8.00962497292322,6.221081374076781,6.986705429,7.8638382803128515,6.109572577687148,6.850859282,7.712649645941936,5.989068918058064,4.0057441549999995,4.598322207583543,3.4131661024164557
1910,7.608627685,8.57766121853657,6.639594151463431,7.5600148019999995,8.530296054054087,6.589733549945912,7.6359453755,8.605851196584934,6.6660395544150655,7.1901732185,8.090059018814056,6.290287418185944,4.405782594000001,5.046526563867764,3.765038624132237
2000,7.621903405,8.55726475488685,6.686542055113151,7.5570210225,8.493828576511985,6.620213468488014,7.580637745,8.506046388435232,6.655229101564767,7.2823914720000005,8.165059309756,6.399723634244002,4.343461968,4.9964780187286655,3.690445917271334
