x,meanNoByzantine,upNoByzantine,lowNoByzantine
1,499842.93,781167.1951821604,218518.66481783963
11,1905988.96,3123986.1293491493,687991.7906508506
21,3008602.57,4638928.072070853,1378277.0679291466
31,3748364.25,5482598.811421897,2014129.6885781032
41,4680633.51,6649053.011446788,2712214.0085532116
51,5212163.59,7558199.833628884,2866127.346371116
61,5912787.5,8602638.102910187,3222936.897089814
71,5956710.79,8605517.483247159,3307904.096752841
81,6237394.38,8983000.174139544,3491788.5858604554
91,6774390.44,9156387.34301591,4392393.536984092
101,7448133.02,10101841.814241603,4794424.225758395
111,7434694.6,10265391.540975235,4603997.659024764
121,8651908.44,11895755.425032172,5408061.454967826
131,9886065.82,13786997.123643994,5985134.516356005
141,8164449.38,12133395.402247222,4195503.357752778
151,8327574.0,12224007.388086347,4431140.611913653
161,8526237.77,12402395.133765938,4650080.406234061
171,8591375.04,12324314.893862534,4858435.186137463
181,8939748.03,12847728.093140434,5031767.966859564
191,10373292.68,14861367.578861525,5885217.781138474
201,4316975.66,6642532.55028131,1991418.7697186898
211,4367060.87,6693559.293196741,2040562.4468032597
221,4748231.43,7071471.658157634,2424991.201842366
231,5251327.46,7384272.911327761,3118382.0086722397
241,6164264.41,8928284.514038784,3400244.3059612163
251,5614749.24,8003387.623442616,3226110.8565573846
261,6780676.63,9786444.79956589,3774908.4604341085
271,5919746.26,8326669.657851942,3512822.862148058
281,6408755.85,9588741.28073922,3228770.419260779
291,7421566.59,10785185.373419533,4057947.8065804676
301,7507190.78,10823313.17916347,4191068.3808365297
311,7828103.86,10992699.032798633,4663508.687201368
321,8347244.65,11912924.33263305,4781564.967366951
331,7850312.19,11442382.306415316,4258242.073584685
341,8195949.72,11924070.422200542,4467829.017799458
351,8206123.41,11974364.826217089,4437881.993782912
361,8857456.69,12780267.286816906,4934646.093183094
371,8350609.25,11744803.674247112,4956414.825752887
381,7358866.7,10520388.924893592,4197344.475106409
391,8334310.42,11699750.028388102,4968870.811611898
401,9489295.78,13496430.397848763,5482161.162151235
411,9616137.35,13640631.102512455,5591643.597487545
421,10044959.54,13955600.069722272,6134319.010277726
431,9856997.23,14013723.16068565,5700271.299314352
441,10238562.9,14970595.478010058,5506530.321989942
451,10419547.65,15052688.046557512,5786407.253442489
461,10122875.07,14269323.064155836,5976427.075844166
471,10883785.66,15324007.040943637,6443564.279056363
481,10911513.69,15492857.310400866,6330170.069599132
491,11127732.66,15501608.100918295,6753857.219081705
501,11025690.86,15399632.935298286,6651748.7847017115
