x,meanNoByzantine,upNoByzantine,lowNoByzantine
1,495849.66,771506.0892112111,220193.23078878887
11,747444.5,1313089.8430874106,181799.15691258945
21,1057771.95,1642182.6927833655,473361.2072166344
31,1115458.8,1752905.1925966328,478012.40740336734
41,1327364.02,2096917.525465669,557810.5145343308
51,1807792.14,2810547.0286070216,805037.2513929782
61,2162674.63,3424695.3931400096,900653.8668599899
71,2127769.05,3259456.74878507,996081.3512149293
81,2238859.99,3383371.7881323076,1094348.1918676929
91,2355150.71,3534962.1779180192,1175339.2420819807
101,2612644.87,4003518.302819034,1221771.4371809664
111,2669573.27,4092961.364207081,1246185.175792919
121,2789474.73,4228385.54124041,1350563.9187595902
131,2515405.01,3693514.9296894213,1337295.090310578
141,2205044.66,3257970.066724603,1152119.253275397
151,2621535.56,3965813.841525377,1277257.2784746233
161,2335377.87,3498870.0579073178,1171885.6820926825
171,2537417.05,3707847.667255552,1366986.4327444476
181,2546152.12,3599143.151511212,1493161.088488788
191,2981578.67,4276868.28160527,1686289.0583947296
201,1127460.78,1723627.6932880688,531293.8667119313
211,887108.63,1380650.4775576137,393566.7824423862
221,802351.89,1266068.5198643391,338635.2601356609
231,982436.87,1603592.5684243524,361281.17157564743
241,1144756.06,1756804.4280803532,532707.6919196469
251,1265771.4,1919083.460795922,612459.3392040778
261,1493234.08,2290855.9906653687,695612.1693346312
271,1518247.9,2294774.207734316,741721.5922656836
281,1621142.64,2349559.9012115346,892725.3787884652
291,2299633.87,3299060.744184154,1300206.9958158464
301,2274969.78,3239655.5759246806,1310283.984075319
311,2365562.26,3339524.5235812003,1391599.996418799
321,2447679.47,3419102.1437302586,1476256.7962697416
331,2543764.07,3591190.0753979846,1496338.064602015
341,2767686.46,3950074.7388281883,1585298.1811718117
351,2676640.3,3833868.7014858136,1519411.8985141858
361,2834693.4,4077895.946676053,1591490.8533239465
371,2797342.51,4122682.273481815,1472002.7465181844
381,2182214.65,3188159.5956989937,1176269.7043010062
391,2679079.7,4023396.847945201,1334762.5520547994
401,2888140.34,4355286.863147328,1420993.8168526716
411,3166740.32,4593281.108005994,1740199.5319940057
421,3251056.49,4699444.852969114,1802668.1270308862
431,3209506.65,4644352.397531557,1774660.9024684431
441,3066860.37,4534296.453343235,1599424.2866567653
451,3271769.95,4933463.198845008,1610076.7011549925
461,3462448.14,5149821.142794953,1775075.1372050478
471,3183297.14,4722082.991570566,1644511.2884294344
481,2916362.7,4315579.669471932,1517145.7305280687
491,3052093.09,4576733.590515038,1527452.5894849615
501,2807235.45,4145042.1624355535,1469428.7375644469
511,2696701.31,3891358.033758791,1502044.586241209
521,2935928.34,4318184.282420225,1553672.3975797745
