x,meanLearnedDirLie,upLearnedDirLie,lowLearnedDirLie
0,626170900000.0,862574592160.0941,389767207839.9059
100,21054010220000.0,27889655347912.676,14218365092087.324
200,5757380690000.0,7846167392498.385,3668593987501.615
300,8425101960000.0,10946065560295.703,5904138359704.297
400,13781919850000.0,17835931559672.72,9727908140327.281
500,12278678610000.0,16173052548485.79,8384304671514.212
600,13994375670000.0,18148521778451.87,9840229561548.129
700,15926554550000.0,20376983962655.4,11476125137344.602
800,16967524450000.0,21623579197100.47,12311469702899.531
900,18116985550000.0,23394531853273.023,12839439246726.977
1000,17614522100000.0,22933066033011.64,12295978166988.357
1100,19594595410000.0,26427009887791.008,12762180932208.994
1200,17660842700000.0,23414277425305.062,11907407974694.938
1300,18244840920000.0,24345936682159.54,12143745157840.459
1400,13451375870000.0,17901870351812.43,9000881388187.572
1500,14037278950000.0,18514881960814.2,9559675939185.8
1600,13741076700000.0,18692464361543.715,8789689038456.284
1700,15670524230000.0,21592551008923.438,9748497451076.562
1800,17237344660000.0,24344498469960.97,10130190850039.03
1900,18828234090000.0,26462591269516.547,11193876910483.453
1990,19169804640000.0,26986571992178.016,11353037287821.982
