x,meanLearnedDirLie,upLearnedDirLie,lowLearnedDirLie,meanNoByzantine,upNoByzantine,lowNoByzantine,meanUserDirLie,upUserDirLie,lowUserDirLie
0,0.6881822400000001,1.2789077383614755,0.09745674163852458,,,,,,
100,11.05279942,15.413083737451231,6.692515102548769,4.814067785000001,6.2486503724730476,3.3794851975269538,4.220584315,5.540632912418552,2.9005357175814477
200,4.4133535,6.0100208767399605,2.81668612326004,2.44631241,3.4970274678331252,1.3955973521668747,2.063416775,2.871827838035882,1.2550057119641176
300,6.75349993,9.39809162013829,4.1089082398617105,4.63363955,6.184881319246773,3.082397780753227,4.397457235,5.874259163229561,2.9206553067704393
400,7.62540609,10.974015448224783,4.276796731775218,6.27243483,8.503364831011792,4.041504828988208,6.18207724,8.373162116026892,3.9909923639731075
500,10.27025701,14.09849937008503,6.442014649914969,6.991848579999999,9.36919160083284,4.614505559167158,6.932293555,9.35250510526996,4.51208200473004
600,12.006087359999999,17.283260254673316,6.7289144653266835,7.764864159999999,10.292318310010076,5.237410009989922,6.485687735,8.330106882423209,4.641268587576791
700,12.53760246,17.661387999003004,7.413816920996998,6.94120142,8.816614982547922,5.065787857452078,6.086900845,7.8258805713841655,4.347921118615834
800,13.12407017,18.745306790745417,7.50283354925458,7.16347856,9.237263940070411,5.089693179929588,6.466215764999999,8.269785159737898,4.6626463702621
900,11.78761024,18.04359137408659,5.531629105913411,7.68674016,10.479915868580754,4.893564451419247,6.596406399999999,8.960772034376479,4.23204076562352
1000,13.55366638,20.058929691671217,7.048403068328782,7.831672180000001,10.734306382724483,4.929037977275519,7.297696745,9.939036665664224,4.656356824335775
1100,10.19557391,14.10012313963749,6.29102468036251,6.616606454999999,8.797182012866767,4.436030897133231,6.19665878,8.129956243025221,4.263361316974779
1200,10.16103829,14.220835260109624,6.101241319890377,6.608274235,8.626215469961398,4.5903330000386005,6.198555795,8.175693668205799,4.221417921794201
1300,9.74352599,13.45715423992057,6.029897740079431,7.19558135,9.522785357253138,4.868377342746863,7.0622228499999995,9.415976539834913,4.708469160165086
1400,9.74349698,13.780476435641333,5.7065175243586665,5.84957742,7.820550121263168,3.878604718736832,5.722696085,7.963396366723002,3.4819958032769986
1500,8.65898763,12.1850824665991,5.1328927934009005,5.84843283,7.828457732383008,3.868407927616993,5.781747810000001,8.039124037146458,3.524371582853544
1600,9.2043368,12.992123305885016,5.416550294114984,5.99014217,8.342928623690536,3.6373557163094636,5.221981775000001,7.405210709928954,3.038752840071047
1700,8.09722013,11.583378782358796,4.611061477641204,7.717327245,10.966103147958126,4.4685513420418745,6.58310474,9.402867192006813,3.7633422879931873
1800,8.576522559999999,11.397398119088178,5.75564700091182,6.38753523,9.16378477367764,3.61128568632236,5.497149965,8.157509285297952,2.8367906447020497
1900,8.77197617,11.698448938039057,5.845503401960943,7.23372264,9.879135781246516,4.588309498753484,6.5864184550000004,9.015707472631295,4.157129437368706
2000,,,,7.32326726,10.299214215187604,4.347320304812396,6.954741725,9.85778026202523,4.051703187974771
