x,meanLearnedDirLie,upLearnedDirLie,lowLearnedDirLie,meanNoByzantine,upNoByzantine,lowNoByzantine,meanUserDirLie,upUserDirLie,lowUserDirLie
0,0.6881822400000001,1.2789077383614755,0.09745674163852458,,,,,,
100,3.20426808,5.022929622273871,1.3856065377261284,4.814067785000001,6.2486503724730476,3.3794851975269538,3.2370851249999997,4.305884873598546,2.168285376401453
200,0.9927449,1.7039472829262279,0.2815425170737722,2.44631241,3.4970274678331252,1.3955973521668747,1.586310605,2.2993609775273978,0.873260232472602
300,1.9164986,2.9761598418110244,0.8568373581889757,4.63363955,6.184881319246773,3.082397780753227,3.3188077399999996,4.328488383339247,2.3091270966607524
400,1.5153939399999998,2.5074455691280133,0.5233423108719865,6.27243483,8.503364831011792,4.041504828988208,4.552951625,6.216032704424822,2.889870545575179
500,2.2074200200000003,3.4884599220675954,0.9263801179324052,6.991848579999999,9.36919160083284,4.614505559167158,4.3788002299999995,5.6963879567385725,3.0612125032614266
600,3.9128286200000004,6.740083653277225,1.0855735867227758,7.764864159999999,10.292318310010076,5.237410009989922,4.62910319,5.965497499898699,3.292708880101302
700,5.03060348,8.45655882296522,1.60464813703478,6.94120142,8.816614982547922,5.065787857452078,3.752632815,4.87052746904659,2.63473816095341
800,5.211359679999999,9.438248465221783,0.9844708947782159,7.16347856,9.237263940070411,5.089693179929588,3.859190165,5.143830542446773,2.5745497875532264
900,4.10724717,8.076903417748621,0.13759092225137826,7.68674016,10.479915868580754,4.893564451419247,4.832885845,6.90471875245419,2.761052937545809
1000,3.96282942,7.282401737835279,0.64325710216472,7.831672180000001,10.734306382724483,4.929037977275519,4.934180845,7.010079640416475,2.858282049583526
1100,2.96444273,4.727693285039162,1.2011921749608372,6.616606454999999,8.797182012866767,4.436030897133231,4.491440435,6.130926749815932,2.851954120184069
1200,2.62107417,3.982539352799779,1.2596089872002207,6.608274235,8.626215469961398,4.5903330000386005,4.288822554999999,5.97320291669536,2.6044421933046387
1300,2.7090675199999996,4.547732571758399,0.8704024682416001,7.19558135,9.522785357253138,4.868377342746863,4.458498735,6.205333875497325,2.7116635945026752
1400,2.02168422,3.3704489499853687,0.6729194900146314,5.84957742,7.820550121263168,3.878604718736832,3.6361089250000003,5.026941153608242,2.245276696391759
1500,2.0437496200000003,3.345524233168091,0.7419750068319093,5.84843283,7.828457732383008,3.868407927616993,3.7714662349999997,5.316714486281135,2.2262179837188647
1600,2.3872885999999998,3.9061694663342563,0.8684077336657432,5.99014217,8.342928623690536,3.6373557163094636,3.51651278,5.2687213161432105,1.7643042438567895
1700,3.21361804,6.08765960722049,0.33957647277950986,7.717327245,10.966103147958126,4.4685513420418745,4.08152021,6.11165253200282,2.0513878879971803
1800,2.64059936,5.245118984874404,0.03607973512559637,6.38753523,9.16378477367764,3.61128568632236,4.52002709,6.942793579982711,2.097260600017289
1900,2.14910938,3.453933425707481,0.8442853342925192,7.23372264,9.879135781246516,4.588309498753484,4.408191115,6.305763971061949,2.5106182589380515
2000,,,,7.32326726,10.299214215187604,4.347320304812396,4.816390245,7.251514635518236,2.3812658544817644
