x,meanLearnedDirLie,upLearnedDirLie,lowLearnedDirLie,meanNoByzantine,upNoByzantine,lowNoByzantine,meanUserDirLie,upUserDirLie,lowUserDirLie
0,0.943005989,1.1983664041014734,0.6876455738985265,,,,,,
100,4.526593014,5.208248321026728,3.8449377069732726,6.40743232825,6.927883331357673,5.886981325142326,4.4900264155,4.89721429231976,4.08283853868024
200,1.605704106,1.872443331288707,1.3389648807112928,3.1965609585,3.451407689736604,2.9417142272633963,2.015702934,2.19210538346823,1.8393004845317704
300,2.345806395,2.8238129746473324,1.8677998153526676,4.4854744447499995,4.838161971995002,4.132786917504997,2.687049955,2.9189897651946275,2.4551101448053725
400,3.437064308,4.233505987664371,2.6406226283356293,5.5850652105,6.041122116624995,5.129008304375005,3.39507026725,3.709209332253338,3.0809312022466617
500,4.1106405839999995,5.030250293026116,3.191030874973883,5.93073972475,6.3941211289467335,5.467358320553267,3.55093180625,3.864648579059015,3.237215033440985
600,4.3378243549999995,5.27678559345173,3.3988631165482692,6.163427746499999,6.66366542003289,5.663190072967108,3.76152530925,4.103454630545972,3.419595987954028
700,4.652504685,5.590962017793721,3.714047352206279,6.71837794725,7.265610722231133,6.171145172268866,4.10393880225,4.503184481497235,3.7046931230027647
800,5.0561986,6.07429752170162,4.03809967829838,6.82393180175,7.394369001432542,6.253494602067457,4.0605296965,4.467442935660145,3.6536164573398544
900,4.934736536,5.988298884953962,3.881174187046038,6.897582878500001,7.451930206430207,6.343235550569794,4.268835778,4.671678790087727,3.8659927659122726
1000,4.971794304,5.989474625749047,3.954113982250954,6.959768629999999,7.539286753228376,6.380250506771622,4.041591064,4.414788273116856,3.668393854883145
1100,5.004129756999999,5.971359673722682,4.036899840277317,6.824396859749999,7.41424484531954,6.234548874180459,4.16096116525,4.571805390028706,3.750116940471294
1200,5.065302933,6.10633534263062,4.024270523369379,6.93323452725,7.534631397056458,6.3318376574435415,4.09788823525,4.5210496865915175,3.6747267839084823
1300,4.823746030000001,5.762781457833701,3.8847106021663,7.17971734275,7.7851245722256115,6.574310113274389,4.29437224675,4.728524543094689,3.860219950405311
1400,4.822177506,5.80724905702608,3.83710595497392,7.227639943,7.848074088698687,6.6072057973013125,4.1213399507499995,4.53529681744125,3.70738308405875
1500,4.412408518,5.302752838367839,3.5220641976321616,7.07690173125,7.686777636319453,6.4670258261805476,4.1582994815,4.5916825722594625,3.724916390740538
1600,4.509339315999999,5.372181641033577,3.6464969909664213,6.821476348999999,7.4271436273255995,6.215809070674399,3.90746676675,4.30707138393694,3.50786214956306
1700,5.0542109879999995,6.057629984161887,4.050791991838112,6.6177000457499995,7.191241688428854,6.044158403071145,3.6770163187500002,4.052352568164449,3.3016800693355512
1800,4.6481777929999994,5.555663612192594,3.7406919738074045,6.839934282500001,7.449626420283964,6.230242144716037,3.7889626979999997,4.183416251525631,3.3945091444743682
1900,4.844973066,5.822384497301234,3.8675616346987653,7.303890112,7.963657042984984,6.644123181015017,4.1764007985,4.623347283224976,3.7294543137750233
2000,,,,7.312678313249999,7.948512234133453,6.6768443923665455,4.2056500895,4.666280931623961,3.745019247376039
