x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanObsNoise,upObsNoise,lowObsNoise,meanObsReplay,upObsReplay,lowObsReplay
10,1.78813844,2.2021308481257336,1.3741460318742664,1.4422117829999999,1.7844328561145282,1.0999907098854715,1.78813844,2.2021308481257336,1.3741460318742664
110,6.954136966,8.014855048871564,5.8934188831284375,5.3184110989999995,6.2165872817502486,4.4202349162497505,6.954136966,8.014855048871564,5.8934188831284375
210,3.496757013,4.047106951365313,2.946407074634687,2.862713746,3.341369036423933,2.3840584555760667,3.4857144509999998,4.0397154941728655,2.931713407827134
310,5.110372902,5.928415708456481,4.292330095543519,4.361192041000001,4.9846892342968925,3.737694847703109,4.309066862,5.007299693179922,3.6108340308200773
410,6.011529831,6.9998020241027685,5.023257637897231,5.352453217,6.17130826417898,4.53359816982102,4.889566976,5.719076663486667,4.060057288513334
510,6.220463985,7.187260568437229,5.253667401562772,5.774117788,6.640318417300054,4.907917158699946,4.778049666,5.545227277891265,4.010872054108735
610,6.954120361,8.031030586860876,5.877210135139124,6.950524650999999,8.021253258302727,5.879796043697272,5.355089573,6.218400120215529,4.491779025784471
710,7.678282542,8.862792609955104,6.4937724740448965,7.425708006,8.661558899990633,6.189857112009367,5.968783748,7.035849777825928,4.901717718174072
810,7.403864424,8.612878970304621,6.194849877695378,7.551115309,8.760910859779091,6.341319758220908,5.86241627,6.925095519182225,4.7997370208177745
910,8.483397797,9.775633287698602,7.1911623063014,8.505695692,9.751978640674814,7.2594127433251865,6.62397464,7.700079936223117,5.547869343776883
1010,8.200976489,9.534747706066412,6.867205271933589,8.316609017000001,9.608795617268429,7.024422416731573,6.318253311,7.3923902903556264,5.244116331644374
1110,8.266731091,9.7127796951483,6.820682486851702,8.742437024000001,10.257723662041801,7.2271503859582005,6.503417871,7.69378754712606,5.313048194873939
1210,7.982854213,9.331384805042017,6.634323620957984,8.012951983,9.340090415137709,6.685813550862292,6.073466561,7.160654383342926,4.986278738657074
1310,8.070037686,9.362463634040857,6.777611737959142,8.52111082,9.931991839913762,7.110229800086239,6.365529832,7.41649828941917,5.31456137458083
1410,7.789955793,9.04692418195153,6.53298740404847,8.077662898,9.41057241691175,6.74475337908825,6.124288045999999,7.200537226084053,5.048038865915945
1510,7.104503414,8.257214712942401,5.951792115057598,7.282976412,8.51422107128212,6.051731752717878,5.619765137,6.541805226312836,4.697725047687164
1610,7.069084734,8.216694010076129,5.92147545792387,7.459339932,8.733452427069212,6.185227436930788,5.644528545999999,6.5823382181205465,4.706718873879452
1710,7.1530077080000005,8.416770946534898,5.889244469465103,6.880707281,8.051382381487564,5.710032180512437,5.791303809,6.84970988078588,4.732897737214121
1810,7.194976359,8.461436541996482,5.9285161760035185,6.983585322,8.223999102080922,5.743171541919077,6.125550712,7.2801388141884,4.9709626098115995
1910,8.210699987,9.70474390398613,6.7166560700138715,7.901360881,9.28496382109315,6.517757940906849,6.68289734,7.988508889921306,5.377285790078695
2000,7.988813180999999,9.393161036008692,6.584465325991307,8.032912956,9.36990619931485,6.695919712685153,6.749448179,8.019854325071456,5.479042032928543
