x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanUserDirLie,upUserDirLie,lowUserDirLie
10,1.4979740240000001,1.8175462250503869,1.1784018229496134,1.252086378,1.5203533811827683,0.9838193748172317
110,5.37775145,6.275804451797338,4.479698448202662,4.034910091,4.734651221542044,3.3351689604579566
210,2.745639153,3.1835344323271846,2.3077438736728153,1.8061757440000001,2.1318834510027274,1.4804680369972731
310,3.940868532,4.611535896116405,3.2702011678835947,2.508034854,3.031470521005126,1.984599186994874
410,4.576620256,5.297435447347186,3.8558050646528144,2.9590754109999997,3.491337865529518,2.4268129564704815
510,5.143932328,5.948821459008092,4.339043196991908,3.0558873490000003,3.587982785306992,2.5237919126930084
610,5.247533177,6.088804039398865,4.406262314601135,2.8692015609999997,3.378692871905208,2.3597102500947913
710,5.158280515,6.020411498877151,4.2961495311228495,2.698526392,3.1892162090621343,2.207836574937866
810,5.455773542,6.355325567677855,4.556221516322146,3.215067639,3.900604997899186,2.529530280100814
910,5.521725969,6.448545899593667,4.594906038406333,3.193279778,3.88497842551591,2.50158113048409
1000,5.590975215,6.569591719992473,4.612358710007528,3.064984063,3.7041538884499374,2.425814237550062
