x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanGreyhole,upGreyhole,lowGreyhole,meanSinkhole,upSinkhole,lowSinkhole,meanSelectiveJam,upSelectiveJam,lowSelectiveJam,meanPosSpoofing,upPosSpoofing,lowPosSpoofing,meanAllAttacks,upAllAttacks,lowAllAttacks
1,549314.4666666667,1315041.8978840203,-216412.964550687,540425.9333333333,1306376.122853869,-225524.2561872023,546229.15,1311989.0004044482,-219530.7004044481,490372.5,1256183.3116494666,-275438.31164946663,549314.4666666667,1315041.8978840203,-216412.964550687,490372.5,1256183.3116494666,-275438.31164946663
2,513357.26666666666,1232981.9632553286,-206267.4299219952,503314.51666666666,1223043.4934563127,-216414.4601229793,520272.1,1240008.57292525,-199464.37292524998,493488.0333333333,1214212.4498107382,-227236.38314407144,513357.26666666666,1232981.9632553286,-206267.4299219952,493488.0333333333,1214212.4498107382,-227236.38314407144
3,562291.0333333333,1458004.7683178377,-333422.7016511711,550188.0833333334,1445922.5934562804,-345546.4267896137,571480.55,1467258.9128037025,-324297.8128037024,538563.0333333333,1435780.1744004188,-358654.1077337521,562291.0333333333,1458004.7683178377,-333422.7016511711,538563.0333333333,1435780.1744004188,-358654.1077337521
4,887832.9666666667,1956862.9763002614,-181197.04296692798,872814.45,1942224.9529706906,-196596.05297069065,903557.8,1972846.3059147508,-165730.7059147507,858363.1,1929758.418247905,-213032.21824790502,887832.9666666667,1956862.9763002614,-181197.04296692798,858363.1,1929758.418247905,-213032.21824790502
5,819623.3,1855702.1991350264,-216455.59913502645,808599.2,1845126.260271804,-227927.86027180403,831333.7,1867086.542141416,-204419.14214141632,798512.4,1837194.0276967857,-240169.2276967857,819623.3,1855702.1991350264,-216455.59913502645,798512.4,1837194.0276967857,-240169.2276967857
6,753718.3,1698461.3896514717,-191024.78965147154,739996.7833333333,1684988.7837419328,-204995.21707526606,768377.35,1713094.9019850022,-176340.20198500226,727334.6,1674805.7283387673,-220136.52833876724,753718.3,1698461.3896514717,-191024.78965147154,727334.6,1674805.7283387673,-220136.52833876724
7,722415.6,1573408.29487638,-128577.09487638006,705284.3166666667,1556124.8405058456,-145556.2071725123,740286.55,1592406.175412674,-111833.07541267376,688536.1,1541421.1009801298,-164348.90098012984,722415.6,1573408.29487638,-128577.09487638006,688536.1,1541421.1009801298,-164348.90098012984
8,662382.8333333334,1434090.8476814267,-109325.18101475993,644646.3166666667,1415913.8696398335,-126621.23630650027,680992.75,1454384.7610663092,-92399.26106630906,627293.6666666666,1400575.0540922524,-145987.72075891914,662382.8333333334,1434090.8476814267,-109325.18101475993,627293.6666666666,1400575.0540922524,-145987.72075891914
9,789485.7333333333,1727099.3472239722,-148127.88055730565,769126.45,1706346.309213032,-168093.4092130321,810115.9833333333,1749309.629178808,-129077.66251214151,749146.9666666667,1688643.556354074,-190349.6230207407,789485.7333333333,1727099.3472239722,-148127.88055730565,749146.9666666667,1688643.556354074,-190349.6230207407
10,734038.6333333333,1555025.4516752386,-86948.18500857207,697276.2166666667,1512676.1912590782,-118123.75792574498,772264.4,1605551.824767262,-61023.02476726193,660619.7,1477382.0664327743,-156142.6664327744,734038.6333333333,1555025.4516752386,-86948.18500857207,660619.7,1477382.0664327743,-156142.6664327744
11,468809.4,1147541.8396912497,-209923.0396912495,454751.0833333333,1133014.6031287,-223512.43646203348,481416.2833333333,1160871.7769122466,-198039.21024557995,440274.13333333336,1119567.955079675,-239019.6884130083,468809.4,1147541.8396912497,-209923.0396912495,440274.13333333336,1119567.955079675,-239019.6884130083
12,548663.5666666667,1340479.405093923,-243152.27176058968,534329.05,1325896.5062945802,-257238.4062945802,561151.8833333333,1353028.2232004649,-230724.45653379825,519925.6,1312943.3782477411,-273092.1782477411,548663.5666666667,1340479.405093923,-243152.27176058968,519925.6,1312943.3782477411,-273092.1782477411
13,175715.13333333333,359452.61345997767,-8022.346793311037,160110.16666666666,337734.58737584914,-17514.25404251585,188125.95,377559.1373784316,-1307.2373784316296,143348.76666666666,317789.4063522273,-31091.873018893995,175715.13333333333,359452.61345997767,-8022.346793311037,143348.76666666666,317789.4063522273,-31091.873018893995
14,207464.8,426509.133642884,-11579.533642883995,193014.66666666666,408090.42781400995,-22061.094480676606,219559.51666666666,441099.9572040902,-1980.9238707568438,177490.0,389876.7367904086,-34896.73679040864,207464.8,426509.133642884,-11579.533642883995,177490.0,389876.7367904086,-34896.73679040864
15,97129.4,204756.49788379294,-10497.69788379295,81568.08333333333,176778.06555709805,-13641.898890431388,113128.4,239876.71605997664,-13619.916059976647,67044.33333333333,159867.56035923798,-25778.89369257132,97129.4,204756.49788379294,-10497.69788379295,67044.33333333333,159867.56035923798,-25778.89369257132
16,82971.73333333334,174126.47860258663,-8183.01193591996,67083.1,142018.20761854848,-7852.00761854845,99257.15,213432.02450455885,-14917.724504558864,52204.333333333336,123300.66758457024,-18892.000917903577,82971.73333333334,174126.47860258663,-8183.01193591996,52204.333333333336,123300.66758457024,-18892.000917903577
17,81434.13333333333,172688.7171753015,-9820.45050863485,63671.95,133724.97394125158,-6381.073941251569,99456.65,218677.78357315535,-19764.483573155376,46790.13333333333,110511.927726323,-16931.66105965634,81434.13333333333,172688.7171753015,-9820.45050863485,46790.13333333333,110511.927726323,-16931.66105965634
18,102767.63333333333,223467.5122940365,-17932.245627369848,76633.63333333333,160579.0801133004,-7311.813446633765,129159.16666666667,294597.52359225054,-36279.19025891718,51444.53333333333,121710.95529344559,-18821.888626778913,102767.63333333333,223467.5122940365,-17932.245627369848,51444.53333333333,121710.95529344559,-18821.888626778913
19,89082.83333333333,189093.5631188076,-10927.896452140936,70156.35,148455.20816601842,-8142.508166018393,108305.8,237443.8721798641,-20832.2721798641,52126.36666666667,123951.20434930289,-19698.471015969553,89082.83333333333,189093.5631188076,-10927.896452140936,52126.36666666667,123951.20434930289,-19698.471015969553
20,110276.83333333333,239166.08984085033,-18612.423174183685,91887.08333333333,206224.47689613036,-22450.310229463706,128926.7,279836.4668610542,-21983.066861054205,74440.93333333333,185370.5977686167,-36488.731101950034,110276.83333333333,239166.08984085033,-18612.423174183685,74440.93333333333,185370.5977686167,-36488.731101950034
21,132073.56666666668,286947.50204698526,-22800.3687136519,102453.55,222646.16379905527,-17739.06379905525,162883.05,365143.0162166137,-39376.916216613725,73822.93333333333,182597.69147911627,-34951.82481244959,132073.56666666668,286947.50204698526,-22800.3687136519,73822.93333333333,182597.69147911627,-34951.82481244959
22,106786.96666666666,228165.41034961282,-14591.477016279488,85528.3,184958.14678598114,-13901.546785981147,129430.61666666667,283078.4641185519,-24217.23078521859,65229.2,158401.73767856072,-27943.33767856071,106786.96666666666,228165.41034961282,-14591.477016279488,65229.2,158401.73767856072,-27943.33767856071
23,43773.7,103760.5466271335,-16213.146627133508,43773.7,103760.5466271335,-16213.146627133508,44034.26666666667,104320.52111394296,-16251.987780609612,44529.7,105442.68538790676,-16383.285387906777,43773.7,103760.5466271335,-16213.146627133508,44529.7,105442.68538790676,-16383.285387906777
24,146653.03333333333,309478.48255269515,-16172.415886028495,125676.35,274077.29501007905,-22724.595010079036,173985.61666666667,367527.0400220018,-19555.80668866844,65505.36666666667,160026.52357255734,-29015.790239224007,146653.03333333333,309478.48255269515,-16172.415886028495,65505.36666666667,160026.52357255734,-29015.790239224007
25,599328.3666666667,1576963.4081463898,-378306.67481305636,576424.75,1552684.67000993,-399835.1700099299,634005.4333333333,1616608.241358623,-348597.3746919563,516770.36666666664,1490623.8653907084,-457083.1320573751,599328.3666666667,1576963.4081463898,-378306.67481305636,516770.36666666664,1490623.8653907084,-457083.1320573751
26,652806.9333333333,1745121.627841208,-439507.7611745412,633573.1666666666,1725369.143750573,-458222.81041723967,686800.1166666667,1781915.562264909,-408315.32893157564,615618.8666666667,1708074.7060729628,-476836.97273962945,652806.9333333333,1745121.627841208,-439507.7611745412,615618.8666666667,1708074.7060729628,-476836.97273962945
27,559483.3,1465999.9624713077,-347033.36247130774,542180.9333333333,1448121.510546457,-363759.6438797902,594548.4333333333,1504875.6859078258,-315778.81924115925,525968.3,1432411.8155336268,-380475.2155336266,559483.3,1465999.9624713077,-347033.36247130774,525968.3,1432411.8155336268,-380475.2155336266
28,724359.3666666667,1929429.1017542058,-480710.3684208724,706379.7833333333,1911264.289555077,-498504.7228884102,766078.8166666667,1973961.4170344789,-441803.78370114556,689295.1666666666,1894946.4893067833,-516356.15597344993,724359.3666666667,1929429.1017542058,-480710.3684208724,689295.1666666666,1894946.4893067833,-516356.15597344993
29,725275.3666666667,1866810.0741842773,-416259.34085094393,699010.85,1840775.9846079224,-442754.2846079223,757069.35,1902028.3690004214,-387889.6690004213,656412.3,1797999.4056731148,-485174.8056731147,725275.3666666667,1866810.0741842773,-416259.34085094393,656412.3,1797999.4056731148,-485174.8056731147
30,694608.3666666667,1865309.2981665672,-476092.56483323383,686149.9,1857147.2556219203,-484847.4556219202,709378.8833333333,1878817.23366789,-460059.4670012235,655301.2666666667,1827033.8404698763,-516431.307136543,694608.3666666667,1865309.2981665672,-476092.56483323383,655301.2666666667,1827033.8404698763,-516431.307136543
31,751204.1,1902550.7163288626,-400142.51632886275,731655.4,1881800.8489343957,-418490.0489343958,759892.05,1907822.5354534343,-388038.43545343424,651028.3333333334,1798115.5664061843,-496058.8997395177,751204.1,1902550.7163288626,-400142.51632886275,651028.3333333334,1798115.5664061843,-496058.8997395177
32,927431.3666666667,2253698.752612441,-398836.01927910745,906314.1666666666,2228764.4592486946,-416136.12591536145,934788.5666666667,2254378.452249535,-384801.3189162016,743274.9666666667,2042966.0608606203,-556416.1275272871,927431.3666666667,2253698.752612441,-398836.01927910745,743274.9666666667,2042966.0608606203,-556416.1275272871
33,901657.9333333333,2188126.4756264295,-384810.6089597631,861573.9333333333,2146767.290190966,-423619.4235242994,913556.1833333333,2200072.78285422,-372960.41618755297,758979.9333333333,2042531.511115003,-524571.6444483362,901657.9333333333,2188126.4756264295,-384810.6089597631,758979.9333333333,2042531.511115003,-524571.6444483362
