x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanGreyhole,upGreyhole,lowGreyhole,meanSinkhole,upSinkhole,lowSinkhole,meanSelectiveJam,upSelectiveJam,lowSelectiveJam,meanPosSpoofing,upPosSpoofing,lowPosSpoofing,meanAllAttacks,upAllAttacks,lowAllAttacks
1,571571.3666666667,1353674.6857965267,-210531.95246319345,562682.8333333334,1345037.745563028,-219672.0788963613,568486.05,1350632.7399145628,-213660.6399145627,513979.23333333334,1296546.6102526444,-268588.1435859778,571571.3666666667,1353674.6857965267,-210531.95246319345,513979.23333333334,1296546.6102526444,-268588.1435859778
2,482850.8,1155385.5253479967,-189683.9253479967,474253.06666666665,1146942.9894008834,-198436.85606755014,483309.51666666666,1155847.8258313045,-189228.79249797115,465655.3333333333,1138922.3364357764,-207611.66976910975,482850.8,1155385.5253479967,-189683.9253479967,465655.3333333333,1138922.3364357764,-207611.66976910975
3,479326.4,1262593.1790284226,-303940.37902842264,470516.98333333334,1253900.7062256339,-312866.7395589671,476258.2,1259522.5143800594,-307006.1143800595,461707.56666666665,1245588.6344998458,-322173.5011665125,479326.4,1262593.1790284226,-303940.37902842264,461707.56666666665,1245588.6344998458,-322173.5011665125
4,757154.0,1678540.622716136,-164232.62271613604,747940.4666666667,1669774.6278008763,-173893.6944675428,758292.4666666667,1679648.3443787924,-163063.4110454591,738726.9333333333,1661361.9388594658,-183908.07219279907,757154.0,1678540.622716136,-164232.62271613604,738726.9333333333,1661361.9388594658,-183908.07219279907
5,503710.26666666666,1224970.9571166867,-217550.42378335336,503710.26666666666,1224970.9571166867,-217550.42378335336,503710.26666666666,1224970.9571166867,-217550.42378335336,503710.26666666666,1224970.9571166867,-217550.42378335336,503710.26666666666,1224970.9571166867,-217550.42378335336,503710.26666666666,1224970.9571166867,-217550.42378335336
6,349540.56666666665,790622.5534863472,-91541.42015301384,349540.56666666665,790622.5534863472,-91541.42015301384,349540.56666666665,790622.5534863472,-91541.42015301384,349540.56666666665,790622.5534863472,-91541.42015301384,349540.56666666665,790622.5534863472,-91541.42015301384,349540.56666666665,790622.5534863472,-91541.42015301384
7,318483.1666666667,727307.5285398571,-90341.19520652376,318483.1666666667,727307.5285398571,-90341.19520652376,318483.1666666667,727307.5285398571,-90341.19520652376,318483.1666666667,727307.5285398571,-90341.19520652376,318483.1666666667,727307.5285398571,-90341.19520652376,318483.1666666667,727307.5285398571,-90341.19520652376
8,351656.3333333333,741720.8064330805,-38408.13976641389,343181.76666666666,733148.5574294257,-46785.024096092384,356020.7,746411.2645897621,-34369.864589762,334707.2,725283.3088845122,-55868.908884512144,351656.3333333333,741720.8064330805,-38408.13976641389,334707.2,725283.3088845122,-55868.908884512144
9,404020.6,1007220.1247824271,-199178.92478242714,404020.6,1007220.1247824271,-199178.92478242714,404020.6,1007220.1247824271,-199178.92478242714,404020.6,1007220.1247824271,-199178.92478242714,404020.6,1007220.1247824271,-199178.92478242714,404020.6,1007220.1247824271,-199178.92478242714
10,501017.3,1176050.4693463969,-174015.86934639694,491242.5833333333,1166383.6765700728,-183898.50990340608,501602.95,1176646.9176550217,-173441.01765502157,481467.86666666664,1157260.2192721462,-194324.485938813,501017.3,1176050.4693463969,-174015.86934639694,481467.86666666664,1157260.2192721462,-194324.485938813
11,344456.93333333335,879371.7891253541,-190457.92245868745,344456.93333333335,879371.7891253541,-190457.92245868745,344456.93333333335,879371.7891253541,-190457.92245868745,344456.93333333335,879371.7891253541,-190457.92245868745,344456.93333333335,879371.7891253541,-190457.92245868745,344456.93333333335,879371.7891253541,-190457.92245868745
12,327300.43333333335,854562.3587855062,-199961.49211883952,327300.43333333335,854562.3587855062,-199961.49211883952,327300.43333333335,854562.3587855062,-199961.49211883952,327300.43333333335,854562.3587855062,-199961.49211883952,327300.43333333335,854562.3587855062,-199961.49211883952,327300.43333333335,854562.3587855062,-199961.49211883952
13,67522.36666666667,142009.21864312812,-6964.485309794763,67522.36666666667,142009.21864312812,-6964.485309794763,67522.36666666667,142009.21864312812,-6964.485309794763,47523.6,112820.16336271248,-17772.963362712493,67522.36666666667,142009.21864312812,-6964.485309794763,47523.6,112820.16336271248,-17772.963362712493
14,62949.4,131808.07661117538,-5909.276611175381,62949.4,131808.07661117538,-5909.276611175381,62949.4,131808.07661117538,-5909.276611175381,42864.96666666667,101345.43843018141,-15615.505096848072,62949.4,131808.07661117538,-5909.276611175381,42864.96666666667,101345.43843018141,-15615.505096848072
15,83284.9,178345.49339660665,-11775.693396606643,83284.9,178345.49339660665,-11775.693396606643,83284.9,178345.49339660665,-11775.693396606643,83284.9,178345.49339660665,-11775.693396606643,83284.9,178345.49339660665,-11775.693396606643,83284.9,178345.49339660665,-11775.693396606643
16,66290.86666666667,140177.0517393304,-7595.318405997052,66290.86666666667,140177.0517393304,-7595.318405997052,66290.86666666667,140177.0517393304,-7595.318405997052,66290.86666666667,140177.0517393304,-7595.318405997052,66290.86666666667,140177.0517393304,-7595.318405997052,66290.86666666667,140177.0517393304,-7595.318405997052
17,61020.26666666667,149164.17814870976,-27123.64481537643,61020.26666666667,149164.17814870976,-27123.64481537643,61020.26666666667,149164.17814870976,-27123.64481537643,40935.833333333336,121170.06666666665,-39298.39999999999,61020.26666666667,149164.17814870976,-27123.64481537643,40935.833333333336,121170.06666666665,-39298.39999999999
18,69090.7,171789.08553398633,-33607.685533986325,69090.7,171789.08553398633,-33607.685533986325,89568.26666666666,198117.89895377343,-18981.36562044012,69090.7,171789.08553398633,-33607.685533986325,69090.7,171789.08553398633,-33607.685533986325,69090.7,171789.08553398633,-33607.685533986325
19,55035.166666666664,131839.8953437396,-21769.562010406276,55035.166666666664,131839.8953437396,-21769.562010406276,55035.166666666664,131839.8953437396,-21769.562010406276,55035.166666666664,131839.8953437396,-21769.562010406276,55035.166666666664,131839.8953437396,-21769.562010406276,55035.166666666664,131839.8953437396,-21769.562010406276
20,145360.5,365463.11819707067,-74742.11819707067,145360.5,365463.11819707067,-74742.11819707067,145360.5,365463.11819707067,-74742.11819707067,145360.5,365463.11819707067,-74742.11819707067,145360.5,365463.11819707067,-74742.11819707067,145360.5,365463.11819707067,-74742.11819707067
21,144978.3,357850.39935333084,-67893.79935333086,144978.3,357850.39935333084,-67893.79935333086,144978.3,357850.39935333084,-67893.79935333086,144978.3,357850.39935333084,-67893.79935333086,144978.3,357850.39935333084,-67893.79935333086,144978.3,357850.39935333084,-67893.79935333086
