x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanCapacityLie,upCapacityLie,lowCapacityLie,meanDemandLie,upDemandLie,lowDemandLie,meanInterferenceLie,upInterferenceLie,lowInterferenceLie,meanObsNoise,upObsNoise,lowObsNoise,meanUserDirLie,upUserDirLie,lowUserDirLie
1,544777.1333333333,1301732.3031695047,-212178.03650283825,544777.1333333333,1301732.3031695047,-212178.03650283825,544777.1333333333,1301732.3031695047,-212178.03650283825,544777.1333333333,1301732.3031695047,-212178.03650283825,544777.1333333333,1301732.3031695047,-212178.03650283825,544777.1333333333,1301732.3031695047,-212178.03650283825
2,475937.26666666666,1122989.8705745786,-171115.33724124526,475937.26666666666,1122989.8705745786,-171115.33724124526,475937.26666666666,1122989.8705745786,-171115.33724124526,475937.26666666666,1122989.8705745786,-171115.33724124526,475937.26666666666,1122989.8705745786,-171115.33724124526,475937.26666666666,1122989.8705745786,-171115.33724124526
3,485963.43333333335,1236705.6518526855,-264778.7851860187,485963.43333333335,1236705.6518526855,-264778.7851860187,485963.43333333335,1236705.6518526855,-264778.7851860187,485963.43333333335,1236705.6518526855,-264778.7851860187,485963.43333333335,1236705.6518526855,-264778.7851860187,485963.43333333335,1236705.6518526855,-264778.7851860187
4,826275.0333333333,1794618.7650883268,-142068.69842166,826275.0333333333,1794618.7650883268,-142068.69842166,826275.0333333333,1794618.7650883268,-142068.69842166,826275.0333333333,1794618.7650883268,-142068.69842166,826275.0333333333,1794618.7650883268,-142068.69842166,826275.0333333333,1794618.7650883268,-142068.69842166
5,702571.9666666667,1562038.6641406287,-156894.73080729542,702571.9666666667,1562038.6641406287,-156894.73080729542,702571.9666666667,1562038.6641406287,-156894.73080729542,702571.9666666667,1562038.6641406287,-156894.73080729542,702571.9666666667,1562038.6641406287,-156894.73080729542,702571.9666666667,1562038.6641406287,-156894.73080729542
6,649773.8666666667,1405649.075139062,-106101.3418057285,649773.8666666667,1405649.075139062,-106101.3418057285,649773.8666666667,1405649.075139062,-106101.3418057285,649773.8666666667,1405649.075139062,-106101.3418057285,649773.8666666667,1405649.075139062,-106101.3418057285,649773.8666666667,1405649.075139062,-106101.3418057285
7,621674.0,1336890.5418784427,-93542.54187844275,621674.0,1336890.5418784427,-93542.54187844275,621674.0,1336890.5418784427,-93542.54187844275,621674.0,1336890.5418784427,-93542.54187844275,621674.0,1336890.5418784427,-93542.54187844275,621674.0,1336890.5418784427,-93542.54187844275
8,529801.6,1118329.3383775856,-58726.1383775858,529801.6,1118329.3383775856,-58726.1383775858,529801.6,1118329.3383775856,-58726.1383775858,529801.6,1118329.3383775856,-58726.1383775858,529801.6,1118329.3383775856,-58726.1383775858,529801.6,1118329.3383775856,-58726.1383775858
9,600263.9666666667,1280595.435195269,-80067.50186193583,600263.9666666667,1280595.435195269,-80067.50186193583,600263.9666666667,1280595.435195269,-80067.50186193583,600263.9666666667,1280595.435195269,-80067.50186193583,600263.9666666667,1280595.435195269,-80067.50186193583,600263.9666666667,1280595.435195269,-80067.50186193583
10,581681.0,1178276.343848472,-14914.343848471879,581681.0,1178276.343848472,-14914.343848471879,581681.0,1178276.343848472,-14914.343848471879,581681.0,1178276.343848472,-14914.343848471879,581681.0,1178276.343848472,-14914.343848471879,581681.0,1178276.343848472,-14914.343848471879
11,282687.86666666664,662671.1679096927,-97295.43457635952,282687.86666666664,662671.1679096927,-97295.43457635952,282687.86666666664,662671.1679096927,-97295.43457635952,282687.86666666664,662671.1679096927,-97295.43457635952,282687.86666666664,662671.1679096927,-97295.43457635952,282687.86666666664,662671.1679096927,-97295.43457635952
12,335565.1,787091.9235518982,-115961.72355189826,335565.1,787091.9235518982,-115961.72355189826,335565.1,787091.9235518982,-115961.72355189826,335565.1,787091.9235518982,-115961.72355189826,335565.1,787091.9235518982,-115961.72355189826,335565.1,787091.9235518982,-115961.72355189826
13,115172.3,261310.7003349837,-30966.100334983683,115172.3,261310.7003349837,-30966.100334983683,115172.3,261310.7003349837,-30966.100334983683,115172.3,261310.7003349837,-30966.100334983683,115172.3,261310.7003349837,-30966.100334983683,115172.3,261310.7003349837,-30966.100334983683
14,76143.1,183227.26792347655,-30941.06792347654,76143.1,183227.26792347655,-30941.06792347654,76143.1,183227.26792347655,-30941.06792347654,76143.1,183227.26792347655,-30941.06792347654,76143.1,183227.26792347655,-30941.06792347654,76143.1,183227.26792347655,-30941.06792347654
15,77668.93333333333,185424.7365242132,-30086.869857546524,77668.93333333333,185424.7365242132,-30086.869857546524,77668.93333333333,185424.7365242132,-30086.869857546524,77668.93333333333,185424.7365242132,-30086.869857546524,77668.93333333333,185424.7365242132,-30086.869857546524,77668.93333333333,185424.7365242132,-30086.869857546524
16,77423.73333333334,184296.66296292163,-29449.19629625496,77423.73333333334,184296.66296292163,-29449.19629625496,77423.73333333334,184296.66296292163,-29449.19629625496,77423.73333333334,184296.66296292163,-29449.19629625496,77423.73333333334,184296.66296292163,-29449.19629625496,77423.73333333334,184296.66296292163,-29449.19629625496
17,78080.73333333334,184755.40883052736,-28593.942163860687,78080.73333333334,184755.40883052736,-28593.942163860687,78080.73333333334,184755.40883052736,-28593.942163860687,78080.73333333334,184755.40883052736,-28593.942163860687,78080.73333333334,184755.40883052736,-28593.942163860687,78080.73333333334,184755.40883052736,-28593.942163860687
18,99060.8,234314.4591492011,-36192.85914920112,99060.8,234314.4591492011,-36192.85914920112,99060.8,234314.4591492011,-36192.85914920112,99060.8,234314.4591492011,-36192.85914920112,99060.8,234314.4591492011,-36192.85914920112,99060.8,234314.4591492011,-36192.85914920112
