x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanCapacityLie,upCapacityLie,lowCapacityLie,meanDemandLie,upDemandLie,lowDemandLie,meanInterferenceLie,upInterferenceLie,lowInterferenceLie,meanObsNoise,upObsNoise,lowObsNoise,meanUserDirLie,upUserDirLie,lowUserDirLie
1,285524.59,528250.298947558,42798.88105244198,285524.59,528250.298947558,42798.88105244198,285524.59,528250.298947558,42798.88105244198,285524.59,528250.298947558,42798.88105244198,285524.59,528250.298947558,42798.88105244198,285524.59,528250.298947558,42798.88105244198
2,341605.31,592826.7686102508,90383.85138974921,336041.09,585805.5519063397,86276.62809366034,341616.15,592839.8895451222,90392.41045487786,341605.31,592826.7686102508,90383.85138974921,337128.1,588902.0311539927,85354.16884600726,345114.85,597695.987613542,92533.71238645798
3,370026.41,657553.8558791392,82498.96412086074,368195.44,655214.9092627438,81175.97073725628,370062.88,657599.5243292102,82526.23567078984,370026.41,657553.8558791392,82498.96412086074,362071.37,649251.0986578709,74891.64134212903,389236.5,687898.8241167397,90574.17588326026
4,486945.9,834316.4722793587,139575.3277206414,486904.0,834182.0522073177,139625.94779268227,486983.06,834348.9738755613,139617.14612443867,486945.9,834316.4722793587,139575.3277206414,466269.73,814711.311252654,117828.14874734601,482699.87,835544.9876133592,129854.75238664076
5,538278.32,900139.0436196384,176417.59638036147,533385.79,893772.8154290232,172998.76457097684,538357.68,900221.8259218516,176493.53407814854,538278.32,900139.0436196384,176417.59638036147,498770.17,857287.7095510606,140252.63044893945,621345.32,1064643.9606693077,178046.6793306921
6,591436.96,990971.3155246314,191902.60447536845,575713.66,962440.8744441925,188986.44555580756,591343.89,990633.7694466782,192054.0105533218,591436.96,990971.3155246314,191902.60447536845,504708.07,861241.8454937462,148174.29450625373,549411.66,925142.678325265,173680.64167473512
7,599893.62,996476.0253801438,203311.2146198562,589566.51,978824.6460232976,200308.37397670245,598339.23,994934.2323289094,201744.2276710905,599893.62,996476.0253801438,203311.2146198562,495836.37,839871.3231429823,151801.4168570176,593533.54,980117.6033503778,206949.47664962232
8,600713.84,991191.7283411629,210235.9516588371,587341.89,967840.2945357992,206843.48546420078,601331.27,992230.4680718482,210432.07192815182,600713.84,991191.7283411629,210235.9516588371,486144.58,824205.8039884269,148083.35601157317,595137.56,974658.4796273287,215616.64037267136
9,692647.21,1135880.60679698,249413.81320302002,675462.86,1113074.685510224,237851.034489776,693563.68,1137276.728361542,249850.631638458,692647.21,1135880.60679698,249413.81320302002,561780.16,958239.5196791831,165320.80032081692,676625.2,1109722.820144915,243527.57985508494
10,692030.64,1123408.3744416789,260652.90555832116,667876.35,1090058.2701119292,245694.4298880708,693485.24,1125672.445065062,261298.03493493784,692030.64,1123408.3744416789,260652.90555832116,547724.25,924972.9620913373,170475.5379086627,679057.21,1094467.3029893832,263647.11701061676
11,618224.29,989158.3644587398,247290.21554126026,591710.06,947179.5176203668,236240.60237963335,620392.0,992912.2783036707,247871.72169632936,618224.29,989158.3644587398,247290.21554126026,462613.68,763886.9300791251,161340.42992087494,619883.68,988949.8429025352,250817.51709746488
12,693741.95,1111392.0716068512,276091.8283931486,642544.64,1016481.0549777999,268608.22502220015,697623.85,1119145.7786658583,276101.9213341416,693741.95,1111392.0716068512,276091.8283931486,504191.97,835874.4920633945,172509.44793660543,652286.79,1042026.2142956293,262547.3657043708
13,712745.43,1144978.4448618286,280512.4151381715,632599.56,988211.1782220526,276987.9417779475,717586.31,1155766.4230033632,279406.19699663686,712745.43,1144978.4448618286,280512.4151381715,501744.02,794911.2991737685,208576.74082623154,627139.9,990012.6701771142,264267.1298228858
14,784217.2,1284369.8661727887,284064.5338272111,729844.26,1195382.059348253,264306.46065174707,788705.78,1293350.8842122462,284060.67578775395,784217.2,1284369.8661727887,284064.5338272111,568194.23,935674.804479603,200713.65552039695,728656.86,1207436.0067234423,249877.71327655757
15,599603.16,1010027.5058556852,189178.81414431485,567998.19,969505.3269621183,166491.05303788168,602795.71,1016673.9645998072,188917.45540019276,599603.16,1010027.5058556852,189178.81414431485,383051.59,592983.0447452219,173120.1352547782,555932.18,939502.1860801866,172362.17391981353
16,682546.07,1121887.729790211,243204.41020978894,660692.3,1098359.6013027676,223024.9986972324,684825.2,1126530.0936704995,243120.30632950034,682546.07,1121887.729790211,243204.41020978894,390265.66,630289.2606462674,150242.05935373247,640164.07,1074038.6554360434,206289.4845639565
17,777839.78,1269757.9168986324,285921.6431013677,783565.08,1287722.9775595,279407.1824405001,780036.06,1273760.0993811078,286312.0206188923,777839.78,1269757.9168986324,285921.6431013677,481574.78,748808.0061113137,214341.55388868635,645829.45,1055760.2178785955,235898.68212140433
18,803169.62,1326397.7099685832,279941.53003141674,817101.65,1358148.7122507975,276054.5877492025,805344.57,1330141.4868614797,280547.6531385202,803169.62,1326397.7099685832,279941.53003141674,433492.87,681076.3865514584,185909.35344854154,643814.61,1054992.93702162,232636.28297837992
19,950639.43,1553110.8213477358,348168.03865226416,980003.88,1603155.8556751057,356851.9043248943,958225.71,1564248.3315288462,352203.08847115363,950639.43,1553110.8213477358,348168.03865226416,579512.28,956363.8640562546,202660.69594374544,765429.88,1255692.1257736427,275167.6342263574
20,923474.55,1517831.762190154,329117.33780984604,952401.09,1564808.322362043,339993.8576379571,925209.32,1521102.1365800295,329316.5034199703,923474.55,1517831.762190154,329117.33780984604,524058.88,841493.1753119363,206624.58468806377,734150.91,1172323.8337756535,295977.9862243467
21,1224239.45,1999837.1788834645,448641.72111653537,1253152.53,2048999.7857473749,457305.2742526252,1225230.66,2001665.155045623,448796.164954377,1224239.45,1999837.1788834645,448641.72111653537,820345.7,1394174.976133238,246516.42386676196,998119.32,1640808.9261199161,355429.7138800839
22,1447293.62,2282932.226796684,611655.0132033163,1489621.14,2351680.5259805876,627561.7540194122,1448565.57,2284599.338341761,612531.8016582392,1447293.62,2282932.226796684,611655.0132033163,978664.84,1576854.8801857582,380474.7998142416,1177444.79,1852165.491580948,502724.0884190521
23,1303173.56,2087779.9969993418,518567.12300065835,1388797.09,2239159.220172197,538434.9598278031,1303089.21,2087798.9017686485,518379.5182313514,1303173.56,2087779.9969993418,518567.12300065835,790623.15,1240889.9406534007,340356.3593465993,1015708.42,1589859.729682171,441557.11031782907
24,1773615.8,2874697.332612537,672534.2673874635,1793796.15,2919312.974448357,668279.325551643,1780994.91,2881763.7974056494,680226.0225943504,1773615.8,2874697.332612537,672534.2673874635,999419.47,1501382.9357510398,497456.0042489602,1444921.7,2388994.1998616573,500849.2001383427
25,1727723.72,2703507.7233257433,751939.7166742567,1694535.99,2640529.0350855426,748542.9449144575,1732422.73,2707283.2302401317,757562.2297598681,1727723.72,2703507.7233257433,751939.7166742567,1078564.58,1597826.5817258172,559302.578274183,1377774.79,2099787.1349895597,655762.4450104402
26,1654171.09,2555797.9762677737,752544.2037322263,1677633.46,2591852.4815997505,763414.4384002496,1657499.31,2557091.967300131,757906.6526998692,1654171.09,2555797.9762677737,752544.2037322263,1167320.94,1716441.8047122362,618200.0752877637,1437654.54,2182213.702722091,693095.3772779088
27,1932435.93,3013436.3991923556,851435.4608076441,1943864.84,3014987.642480653,872742.0375193472,1934391.52,3013261.837486581,855521.2025134191,1932435.93,3013436.3991923556,851435.4608076441,1244129.73,1829623.898365357,658635.5616346429,1609864.23,2433244.388682859,786484.071317141
28,2090903.61,3363970.545299663,817836.6747003372,2075012.24,3330406.7095615915,819617.7704384085,2092749.03,3364557.855810305,820940.2041896952,2090903.61,3363970.545299663,817836.6747003372,1190132.68,1833245.7618068245,547019.5981931754,1542429.48,2395422.789068605,689436.170931395
29,2175962.57,3438037.097577618,913888.0424223817,2080143.47,3263460.523205391,896826.4167946088,2175232.53,3434093.2607843843,916371.7992156153,2175962.57,3438037.097577618,913888.0424223817,1171868.05,1731728.9821465805,612007.1178534196,1537341.69,2316192.0830126014,758491.2969873988
30,2396026.38,3772809.7183629274,1019243.0416370723,2307937.46,3601608.428324512,1014266.491675488,2397087.69,3774401.1807285678,1019774.1992714324,2396026.38,3772809.7183629274,1019243.0416370723,1448037.07,2208191.171639252,687882.9683607481,1643488.91,2462549.6135156048,824428.2064843951
31,2804399.02,4345659.475460662,1263138.5645393387,2724945.93,4192461.1758713825,1257430.684128618,2805235.96,4347045.355636468,1263426.5643635313,2804399.02,4345659.475460662,1263138.5645393387,1900234.89,2975157.2314063087,825312.5485936913,1981300.26,2986135.821201512,976464.6987984879
32,2574089.52,4050279.546358075,1097899.493641925,2584292.44,4048155.6042301804,1120429.2757698195,2575753.32,4053311.9121618564,1098194.7278381432,2574089.52,4050279.546358075,1097899.493641925,1761635.61,2711034.7488326314,812236.4711673688,1893163.72,2857311.5729625025,929015.8670374973
33,2594518.76,4128755.0807126644,1060282.4392873351,2609048.75,4128002.0419508135,1090095.4580491867,2597238.4,4133385.8308900343,1061090.9691099655,2594518.76,4128755.0807126644,1060282.4392873351,1825034.95,2870351.8422789034,779718.0577210966,1894818.42,2937118.745039615,852518.094960385
34,2722727.6,4284410.0212828,1161045.1787172006,2698133.53,4225679.371664314,1170587.688335686,2726400.76,4291087.330205021,1161714.189794978,2722727.6,4284410.0212828,1161045.1787172006,1687966.11,2541509.5617384445,834422.658261556,1712223.73,2717154.263009863,707293.1969901372
35,2397002.59,3879749.506827955,914255.6731720443,2478331.87,3975941.9828949748,980721.7571050252,2404405.64,3892508.875344122,916302.4046558782,2397002.59,3879749.506827955,914255.6731720443,1669163.75,2521759.085697793,816568.414302207,1562240.86,2460846.158128104,663635.5618718963
36,2704341.71,4277998.299399365,1130685.1206006357,2679788.94,4210501.970403917,1149075.9095960825,2711988.77,4290608.816667636,1133368.7233323639,2704341.71,4277998.299399365,1130685.1206006357,1565983.55,2351376.2305104267,780590.8694895732,1723687.55,2756648.657629745,690726.442370255
37,2751399.9,4293613.481970951,1209186.3180290493,2705884.31,4182979.0092172083,1228789.610782792,2755442.45,4299450.681955046,1211434.2180449544,2751399.9,4293613.481970951,1209186.3180290493,1668374.77,2443378.5402554646,893370.9997445355,1775748.78,2661710.6131348535,889786.9468651467
38,2963513.03,4646151.747111484,1280874.3128885152,2984342.63,4640506.048138128,1328179.2118618723,2967996.56,4652316.522073688,1283676.5979263126,2963513.03,4646151.747111484,1280874.3128885152,1898909.57,2762873.997084708,1034945.1429152922,2133681.25,3436426.8881606995,830935.6118393005
39,2814203.29,4495682.458753416,1132724.1212465842,2855073.11,4510304.414598442,1199841.8054015583,2818595.88,4502123.083390921,1135068.676609079,2814203.29,4495682.458753416,1132724.1212465842,1811071.52,2732803.1140363067,889339.9259636932,2123137.95,3613299.564114842,632976.3358851583
