x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanAllObsAttacks,upAllObsAttacks,lowAllObsAttacks,meanCapacityLie,upCapacityLie,lowCapacityLie,meanDemandLie,upDemandLie,lowDemandLie,meanInterferenceLie,upInterferenceLie,lowInterferenceLie,meanObsNoise,upObsNoise,lowObsNoise,meanUserDirLie,upUserDirLie,lowUserDirLie
1,499842.94,781167.2138035041,218518.66619649593,499842.94,781167.2138035041,218518.66619649593,499842.94,781167.2138035041,218518.66619649593,499842.94,781167.2138035041,218518.66619649593,499842.94,781167.2138035041,218518.66619649593,499842.94,781167.2138035041,218518.66619649593,499842.94,781167.2138035041,218518.66619649593
11,1905988.96,3123986.127297027,687991.7927029731,1647338.74,2680632.2562546562,614045.2237453436,1904020.25,3119256.8692009808,688783.6307990192,1905592.29,3123313.96741773,687870.61258227,1905988.96,3123986.127297027,687991.7927029731,1480221.6,2421244.3293040055,539198.8706959947,1946108.04,3099166.5561591173,793049.5238408828
21,3008602.57,4638928.070993172,1378277.0690068274,2612039.27,4014257.9396007545,1209820.6003992457,2951883.38,4561332.487948867,1342434.2720511337,3009166.66,4639500.80124823,1378832.5187517705,3008602.57,4638928.070993172,1378277.0690068274,2451680.73,3817538.496974196,1085822.9630258041,3062273.31,4606577.02662098,1517969.5933790195
31,3748364.39,5482599.06234889,2014129.7176511104,2893154.28,4482703.753325453,1303604.8066745466,3381396.81,4989225.217567172,1773568.4024328287,3747822.36,5481324.3400263395,2014320.3799736605,3748364.39,5482599.06234889,2014129.7176511104,2537685.32,3960238.4273264296,1115132.2126735703,2892326.6,4487826.249018574,1296826.950981426
41,4680633.56,6649053.0853837505,2712214.034616248,2843404.13,4310261.531255592,1376546.7287444077,4191976.53,5994817.663048253,2389135.396951746,4680463.73,6651717.768240791,2709209.6917592096,4680633.56,6649053.0853837505,2712214.034616248,3022507.31,4547694.786013916,1497319.833986084,3419873.88,4995027.411741849,1844720.348258151
51,5212163.57,7558199.821348302,2866127.318651699,3529989.97,5525579.351662222,1534400.5883377786,4856867.1,7081408.598446405,2632325.601553594,5200892.6,7550461.866262837,2851323.333737162,5212163.57,7558199.821348302,2866127.318651699,4041987.13,6172476.279666012,1911497.9803339876,4055083.47,6146144.517308451,1964022.4226915492
61,5912787.43,8602637.991262544,3222936.8687374564,3778382.1,6164952.958995162,1391811.241004839,6152184.48,8842772.252161473,3461596.7078385283,5931223.45,8619846.93020361,3242599.9697963903,5912787.43,8602637.991262544,3222936.8687374564,4662342.99,7191102.6649070885,2133583.3150929124,4744242.66,7176443.902302389,2312041.4176976113
71,5956710.77,8605517.468012813,3307904.0719871847,3966054.96,6261948.644743291,1670161.2752567092,5918186.07,8498572.769399565,3337799.3706004363,5953529.67,8603588.031151453,3303471.3088485473,5956710.77,8605517.468012813,3307904.0719871847,4817616.13,7372451.646513527,2262780.6134864725,4722850.6,7107393.734602656,2338307.465397343
81,6237394.41,8983000.253989153,3491788.566010848,4510529.09,7071477.233376248,1949580.946623752,6581868.26,9425857.044527404,3737879.4754725946,6248472.54,8994434.897195159,3502510.182804842,6237394.41,8983000.253989153,3491788.566010848,5497773.99,8294466.9167607045,2701081.063239296,4562023.86,6974117.862887157,2149929.8571128435
91,6774390.49,9156387.432744049,4392393.547255953,4436524.37,6411209.845393708,2461838.8946062927,6729615.47,9109717.007493198,4349513.932506802,6772974.58,9155504.4565235,4390444.703476499,6774390.49,9156387.432744049,4392393.547255953,5682228.4,8089084.441464945,3275372.358535056,5178971.12,7184662.566537,3173279.6734630005
101,7448133.02,10101841.828641508,4794424.21135849,5249571.19,7584274.685034394,2914867.694965606,7607273.68,10313256.77445798,4901290.5855420185,7475646.01,10138539.489939963,4812752.530060036,7448133.02,10101841.828641508,4794424.21135849,6033187.9,8575991.066901635,3490384.7330983654,5874813.63,8066765.858293029,3682861.401706971
111,7434694.52,10265391.427388929,4603997.612611071,5183888.58,7563878.48320174,2803898.6767982603,7754443.3,10657696.044722859,4851190.555277141,7443034.57,10291058.533839498,4595010.606160502,7434694.52,10265391.427388929,4603997.612611071,6493992.04,9360391.949493805,3627592.1305061956,6117111.44,8578494.842878785,3655728.037121215
121,8651908.56,11895755.59717729,5408061.522822712,5892656.25,8525649.540287364,3259662.9597126353,8567871.14,11866585.030846883,5269157.249153119,8737936.16,11991158.881678041,5484713.438321959,8651908.56,11895755.59717729,5408061.522822712,6832381.4,9995411.038051266,3669351.7619487345,6241398.97,8724197.872268295,3758600.0677317046
131,9886065.81,13786997.119633056,5985134.500366944,6673183.54,9878820.424421493,3467546.655578507,9697701.86,13483943.818991803,5911459.901008197,9934519.15,13843227.139283344,6025811.160716657,9886065.81,13786997.119633056,5985134.500366944,8002304.28,11787077.259359656,4217531.300640345,7281808.74,10341952.640308999,4221664.839691003
141,8164449.37,12133395.37692482,4195503.36307518,6387665.96,9824450.079813268,2950881.840186732,8441603.43,12354160.98428863,4529045.875711369,8175038.5,12132202.488475166,4217874.511524835,8164449.37,12133395.37692482,4195503.36307518,7732426.62,11668079.561895344,3796773.6781046554,6844666.5,10210245.782014515,3479087.2179854857
151,8327574.04,12224007.43513327,4431140.644866729,6395850.66,9772693.152649183,3019008.1673508175,8869292.75,12705458.768986162,5033126.731013839,8310007.18,12200797.198599812,4419217.161400189,8327574.04,12224007.43513327,4431140.644866729,7749352.02,11558251.584317857,3940452.455682142,6821012.27,10313373.082946626,3328651.457053372
161,8526237.77,12402395.129837612,4650080.410162387,6494454.16,9935063.474570876,3053844.845429124,9189613.18,13076703.539940014,5302522.820059984,8546117.34,12425607.92870627,4666626.751293731,8526237.77,12402395.129837612,4650080.410162387,8405872.3,12479042.209897669,4332702.390102332,7182650.84,10692448.781316614,3672852.8986833864
171,8591375.09,12324314.952709617,4858435.227290383,6795443.63,10086143.822010221,3504743.437989779,9143217.46,12780141.005123451,5506293.91487655,8628600.74,12381142.770481758,4876058.709518244,8591375.09,12324314.952709617,4858435.227290383,8138665.4,11819894.647707872,4457436.152292128,7105935.66,10474544.03288679,3737327.2871132107
181,8939747.98,12847728.04100262,5031767.918997382,6674489.72,9916993.963459266,3431985.476540733,9101175.37,12804917.213926293,5397433.526073705,8955525.84,12875602.117584523,5035449.562415477,8939747.98,12847728.04100262,5031767.918997382,8419729.8,12293692.822796777,4545766.7772032255,7102008.26,10563245.046592394,3640771.4734076057
