x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanobsall,upobsall,lowobsall,meanCapacityLie,upCapacityLie,lowCapacityLie,meanDemandLie,upDemandLie,lowDemandLie,meanInterferenceLie,upInterferenceLie,lowInterferenceLie,meanObsNoise,upObsNoise,lowObsNoise,meanUserDirLie,upUserDirLie,lowUserDirLie
10,1574830.66,2496132.92563465,653528.3943653499,1215496.03,2054508.144232368,376483.91576763196,1595473.86,2507046.12772995,683901.5922700502,1574772.6,2495502.6712276703,654042.52877233,1574830.66,2496132.92563465,653528.3943653499,1088749.39,1763095.6095519243,414403.17044807563,1597411.43,2603491.246513251,591331.6134867488
20,2833779.69,4437682.672493909,1229876.707506091,2461251.32,3892124.4326083874,1030378.207391612,2852986.61,4432904.441846508,1273068.7781534921,2829861.7,4429566.606876446,1230156.7931235547,2833779.69,4437682.672493909,1229876.707506091,2106601.77,3359760.833473699,853442.7065263011,3042176.9,4720879.7163764555,1363474.0836235448
30,3784192.7,5550719.22545662,2017666.1745433805,2613173.12,4271512.824049655,954833.4159503449,3604597.2,5334359.199125048,1874835.2008749521,3789619.59,5558333.542938768,2020905.6370612315,3784192.7,5550719.22545662,2017666.1745433805,2384791.26,3790171.690841109,979410.8291588905,2720787.59,4507804.08821977,933771.0917802297
40,4744155.13,6825733.297975667,2662576.9620243334,2317540.05,3871291.89687432,763788.2031256794,4542582.58,6564329.023861949,2520836.136138051,4744884.13,6829160.455997698,2660607.8040023013,4744155.13,6825733.297975667,2662576.9620243334,2611341.52,4244923.898857287,977759.1411427129,2712108.67,4372343.238662401,1051874.101337599
50,5247157.04,7625778.0984718595,2868535.98152814,2792400.32,4558619.565311588,1026181.0746884111,4840407.65,7081069.463295075,2599745.8367049256,5235958.12,7618576.52517452,2853339.7148254802,5247157.04,7625778.0984718595,2868535.98152814,3071371.23,4792008.316279968,1350734.1437200315,2805168.2,4328167.768813521,1282168.6311864797
60,5912785.02,8636695.113239445,3188874.9267605534,3322578.91,5302509.715794584,1342648.104205417,5775235.58,8373903.041342533,3176568.118657467,5906468.2,8625029.114414634,3187907.285585366,5912785.02,8636695.113239445,3188874.9267605534,3621666.47,5638388.329310642,1604944.610689359,3596632.6,5683786.934690705,1509478.2653092956
70,6377857.66,9036371.016003251,3719344.3039967483,3575884.73,5651231.959175648,1500537.5008243523,6170425.39,8760296.092206959,3580554.6877930397,6368568.72,9030296.456770722,3706840.983229278,6377857.66,9036371.016003251,3719344.3039967483,4110700.64,6299212.45852387,1922188.8214761298,3867092.46,5937651.674174614,1796533.2458253854
80,6325073.99,9204448.11306372,3445699.866936282,3915453.41,6162633.973111739,1668272.846888261,6922890.04,10089826.739173954,3755953.340826046,6322167.31,9202715.406172032,3441619.2138279676,6325073.99,9204448.11306372,3445699.866936282,4296194.94,6624310.4462671,1968079.4337329003,4033026.29,6036503.2021141965,2029549.377885803
90,6774329.7,9174521.233350595,4374138.166649405,3801908.71,5646369.0938698575,1957448.326130143,6659572.5,9210274.651850367,4108870.3481496335,6741562.79,9143866.722083688,4339258.857916312,6774329.7,9174521.233350595,4374138.166649405,4458224.0,6518202.062076807,2398245.937923193,3562539.02,5129431.091761991,1995646.9482380087
100,7188900.38,9668434.82670396,4709365.93329604,4244408.36,6336827.397049764,2151989.3229502365,7726022.04,10597031.717235163,4855012.362764837,7213826.96,9711708.942025658,4715944.977974342,7188900.38,9668434.82670396,4709365.93329604,5206700.83,7439875.665795742,2973525.994204258,4034934.98,5724641.7036215775,2345228.256378423
110,7475061.03,10251032.128866421,4699089.931133579,4788018.47,7299924.675914783,2276112.2640852164,7263487.72,10071889.851923293,4455085.588076707,7460444.04,10240051.885736264,4680836.194263737,7475061.03,10251032.128866421,4699089.931133579,5693233.52,8435370.430772018,2951096.6092279823,4441668.65,6549229.518523913,2334107.781476088
120,8903576.42,12326604.684802987,5480548.155197014,5121868.92,7837200.734639289,2406537.1053607115,8407428.5,11742956.1393972,5071900.8606028,8774010.43,12175490.254951116,5372530.605048885,8903576.42,12326604.684802987,5480548.155197014,6967613.75,10472536.506404324,3462690.993595677,4709887.76,6974704.09669387,2445071.4233061294
130,10249606.97,14335205.111540843,6164008.828459158,4396063.33,6781468.194396706,2010658.4656032943,9287919.92,13082748.98937077,5493090.850629229,10132485.71,14225647.67981982,6039323.740180181,10249606.97,14335205.111540843,6164008.828459158,7526099.96,11286833.175976094,3765366.744023906,4267162.6,6194650.016633955,2339675.1833660444
140,8382208.08,12327623.311223818,4436792.848776182,4231844.03,6693896.233730169,1769791.826269831,8085116.48,11826523.577079775,4343709.382920226,8257312.8,12183847.41903269,4330778.180967311,8382208.08,12327623.311223818,4436792.848776182,5928363.25,9102573.063019572,2754153.4369804286,3838463.75,5557175.638814783,2119751.8611852177
150,8213112.05,12087089.943296863,4339134.156703137,4992431.84,8552234.429077622,1432629.2509223772,7965845.33,11592491.787959542,4339198.872040457,8097411.49,11976479.613825273,4218343.366174729,8213112.05,12087089.943296863,4339134.156703137,6149492.4,9383334.420143683,2915650.379856319,4047718.57,6033443.1111057885,2061994.028894211
160,8761245.38,12768493.161914445,4753997.598085556,5296584.68,8771958.400087968,1821210.9599120328,8768181.59,12581443.228270892,4954919.951729107,8723409.12,12741844.14767716,4704974.0923228385,8761245.38,12768493.161914445,4753997.598085556,7305238.08,11020771.829126472,3589704.3308735285,4545528.75,6859129.238283484,2231928.2617165158
170,8857260.01,12599108.89125824,5115411.12874176,4776029.39,7473870.8791332,2078187.9008667986,8916036.6,12440930.48723145,5391142.712768549,8868073.94,12666223.17890878,5069924.701091219,8857260.01,12599108.89125824,5115411.12874176,7130636.65,10687230.404128268,3574042.895871732,4172832.54,6386509.281156477,1959155.798843523
180,8994340.84,12929322.069591602,5059359.610408397,5063879.69,8032798.7300204,2094960.6499796011,8718668.76,12417513.957676526,5019823.562323474,8943720.31,12967933.841867968,4919506.778132032,8994340.84,12929322.069591602,5059359.610408397,7074980.94,10676828.219305404,3473133.660694598,4310206.07,6607483.196335815,2012928.9436641862
190,10207123.91,14677625.043312013,5736622.776687987,5735592.86,8845157.860319383,2626027.859680617,9956122.78,14052612.714457342,5859632.845542656,9876231.69,14274022.173521858,5478441.20647814,10207123.91,14677625.043312013,5736622.776687987,7653551.65,11219490.046511661,4087613.2534883386,5143700.87,7795780.9121558955,2491620.8278441047
