x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanDirInterferenceLie,upDirInterferenceLie,lowDirInterferenceLie,meanInterferenceLie,upInterferenceLie,lowInterferenceLie,meanUserDirLie,upUserDirLie,lowUserDirLie
1,985508.488,1315106.9995283848,655909.9764716154,985508.488,1315106.9995283848,655909.9764716154,985508.488,1315106.9995283848,655909.9764716154,985508.488,1315106.9995283848,655909.9764716154
11,2465406.368,3207410.6153582996,1723402.1206417,2094284.504,2766877.232309061,1421691.7756909388,2465406.368,3207410.6153582996,1723402.1206417,1687420.59,2145537.107938525,1229304.0720614754
21,3680524.55,4693534.865686435,2667514.234313564,2925715.51,3849903.115507449,2001527.9044925505,3680524.55,4693534.865686435,2667514.234313564,2524966.988,3387904.837723128,1662029.1382768718
31,4754273.54,5877003.084825759,3631543.9951742413,3524651.784,4539123.793031203,2510179.774968798,4754273.54,5877003.084825759,3631543.9951742413,2590957.408,3459452.8349652495,1722461.9810347501
41,6184126.54,7487938.128758769,4880314.9512412315,4724526.238,5881801.159049894,3567251.316950106,6184126.54,7487938.128758769,4880314.9512412315,3273595.44,4218662.37732877,2328528.5026712297
51,7252124.07,8667967.882084776,5836280.257915224,5601043.93,6831773.001960582,4370314.858039417,7252124.07,8667967.882084776,5836280.257915224,3756428.79,4774413.537099751,2738444.042900249
61,7663776.996,9086215.776200755,6241338.215799246,5645152.526,6828145.92727046,4462159.124729539,7663776.996,9086215.776200755,6241338.215799246,4325787.818,5466064.363531755,3185511.2724682447
71,7742516.2,9261142.053114817,6223890.346885184,6056683.3,7333190.99310671,4780175.60689329,7742516.2,9261142.053114817,6223890.346885184,4314148.886,5419464.312458216,3208833.4595417837
81,8546698.98,10261686.907743337,6831711.052256663,6532324.66,7945726.125547552,5118923.194452449,8546698.98,10261686.907743337,6831711.052256663,4766144.632,5956073.207281637,3576216.0567183634
91,8687195.588,10313945.795323674,7060445.380676325,6766538.058,8190710.935308942,5342365.180691059,8687195.588,10313945.795323674,7060445.380676325,4653417.644,5682035.703092994,3624799.5849070065
101,9357101.58,11053274.58172194,7660928.578278061,7232370.674,8718174.471372679,5746566.876627321,9357101.58,11053274.58172194,7660928.578278061,4739391.782,5779027.6199414525,3699755.9440585463
111,10066484.896,11930217.10525795,8202752.686742048,7816142.528,9445851.533115705,6186433.522884294,10066484.896,11930217.10525795,8202752.686742048,5073786.73,6155209.633012254,3992363.826987747
121,10387252.2,12284330.016374294,8490174.383625705,7612456.274,9144462.514091473,6080450.033908527,10387252.2,12284330.016374294,8490174.383625705,5135856.138,6241794.52531238,4029917.7506876206
131,11360726.296,13485698.758342002,9235753.833657999,8138951.634,9824408.5651381,6453494.7028618995,11360726.296,13485698.758342002,9235753.833657999,5405704.576,6690755.896146329,4120653.255853672
141,12111997.982,14519318.72539295,9704677.23860705,8563937.28,10467725.489167329,6660149.070832669,12111997.982,14519318.72539295,9704677.23860705,5653133.654,7085010.758291969,4221256.549708031
151,12105110.37,14499832.30108365,9710388.438916348,8589531.902,10449782.206357379,6729281.597642624,12105110.37,14499832.30108365,9710388.438916348,5704996.062,7149043.655611544,4260948.468388456
161,12459996.92,14906065.662986653,10013928.177013347,9208863.072,11114813.406786373,7302912.737213628,12459996.92,14906065.662986653,10013928.177013347,6218790.95,7745712.638933102,4691869.261066899
171,12318583.232,14686656.715172496,9950509.748827506,9019519.33,10848001.947687864,7191036.712312135,12318583.232,14686656.715172496,9950509.748827506,5663459.392,7125318.347786568,4201600.436213432
181,12441123.062,14697721.258595236,10184524.865404766,9484904.606,11378497.650401568,7591311.561598432,12441123.062,14697721.258595236,10184524.865404766,6096070.762,7450137.866178884,4742003.657821116
191,13083918.702,15511658.340983802,10656179.063016197,9568700.156,11623836.306965664,7513564.005034334,13083918.702,15511658.340983802,10656179.063016197,6407588.834,7841334.847436341,4973842.820563658
201,13196712.008,15566419.696629854,10827004.319370145,10076623.044,12183848.916727852,7969397.171272147,13196712.008,15566419.696629854,10827004.319370145,6801937.226,8391956.474299738,5211917.9777002605
211,12680826.068,15009713.446818206,10351938.689181793,9842968.138,11920007.550550397,7765928.725449602,12680826.068,15009713.446818206,10351938.689181793,6801766.53,8415254.849383686,5188278.210616314
221,12468302.518,14743680.550240431,10192924.485759567,9528663.358,11541626.957827572,7515699.758172427,12468302.518,14743680.550240431,10192924.485759567,6567028.496,8065366.23422292,5068690.757777081
231,13596700.732,16012022.900327004,11181378.563672997,10382419.976,12418211.83659757,8346628.11540243,13596700.732,16012022.900327004,11181378.563672997,6956546.102,8509478.066031553,5403614.137968448
241,13286434.554,15683496.632419595,10889372.475580404,10321597.258,12320774.457836814,8322420.058163186,13286434.554,15683496.632419595,10889372.475580404,6821705.574,8300429.696956104,5342981.451043896
251,13387996.872,15815183.78867922,10960809.95532078,10391094.11,12357786.700766494,8424401.519233504,13387996.872,15815183.78867922,10960809.95532078,6949429.442,8455344.860233847,5443514.0237661535
261,13141256.92,15501397.824052084,10781116.015947916,10339437.514,12235393.91415434,8443481.113845661,13141256.92,15501397.824052084,10781116.015947916,6820340.726,8234809.06614754,5405872.38585246
271,13281329.418,15692583.044486865,10870075.791513134,10333750.89,12240128.164243128,8427373.615756873,13281329.418,15692583.044486865,10870075.791513134,7138474.506,8662502.830180334,5614446.181819666
281,12899957.22,15297830.653042879,10502083.786957122,10114752.0,12111300.178868968,8118203.821131033,12899957.22,15297830.653042879,10502083.786957122,6952434.014,8466605.842133423,5438262.185866578
291,12371037.594,14687783.163920086,10054292.024079915,9824029.942,11801008.332217477,7847051.551782522,12371037.594,14687783.163920086,10054292.024079915,7027955.062,8601187.446774714,5454722.677225287
301,12815866.054,15204266.36699716,10427465.741002839,9895850.332,11863113.296915177,7928587.367084824,12815866.054,15204266.36699716,10427465.741002839,7285507.618,8938679.465440253,5632335.770559748
