x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanDirInterferenceLie,upDirInterferenceLie,lowDirInterferenceLie,meanInterferenceLie,upInterferenceLie,lowInterferenceLie
10,2304433.646,2989890.4374359176,1618976.8545640828,1984260.958,2606370.327236245,1362151.5887637553,2304433.646,2989890.4374359176,1618976.8545640828
110,10096723.172,11958236.91887673,8235209.425123271,7820022.302,9455229.77849746,6184814.825502541,10096723.172,11958236.91887673,8235209.425123271
210,5169714.356,6127655.571592542,4211773.140407457,3804620.892,4583279.635101761,3025962.1488982397,5220403.574,6192890.5892467145,4247916.558753286
310,7784639.544,9293232.398815237,6276046.689184763,5897417.202,7085121.802967372,4709712.601032627,7811769.91,9355369.049020577,6268170.770979423
410,9328265.274,11157028.107004311,7499502.440995689,7121308.974,8647360.589154802,5595257.358845199,9317440.918,11102243.89145884,7532637.94454116
510,9981189.286,11776820.121505657,8185558.450494343,7572145.002,9191724.160535337,5952565.843464663,9941702.802,11679008.306299059,8204397.297700939
610,11120598.026,13053157.368880996,9188038.683119005,8588134.962,10256285.991438836,6919983.932561163,11102363.23,13062749.958550155,9141976.501449846
710,12447624.474,14531365.24181632,10363883.70618368,9159635.766,10922242.119204322,7397029.41279568,12589948.546,14715360.666600462,10464536.425399538
810,11885961.032,14061690.326781675,9710231.737218324,9401747.828,11294698.78465544,7508796.87134456,11991492.584,14207517.153776396,9775468.014223605
910,13780889.532,16079392.646841105,11482386.417158894,10317460.902,12170387.142364614,8464534.661635388,13790039.082,16144383.163352298,11435695.000647703
1010,13733418.434,16178483.231868964,11288353.636131037,10523163.746,12461390.810127923,8584936.681872075,13378132.116,15784836.292740777,10971427.939259224
1110,14136853.778,16810611.311786406,11463096.244213598,10989860.48,13126307.204384279,8853413.755615722,14539260.782,17335049.674990512,11743471.889009487
1210,14335700.916,16865249.46835997,11806152.363640029,10439348.71,12496582.488409065,8382114.931590938,14151352.874,16691407.60364718,11611298.14435282
1310,14225411.182,16618276.514452677,11832545.849547323,10484159.438,12523445.343599781,8444873.532400217,13973761.15,16349866.13009866,11597656.169901341
1410,14003770.228,16342782.46177832,11664757.99422168,10280500.938,12318871.888851058,8242129.98714894,14073621.148,16451167.46023755,11696074.83576245
1510,12954064.68,15096613.31064618,10811516.04935382,9563958.25,11463714.749614995,7664201.750385006,13041670.184,15224741.061591843,10858599.306408158
1610,12785414.852,14910544.325326987,10660285.378673013,9147664.142,10915055.715624558,7380272.568375443,12915135.508,15064304.161932737,10765966.854067262
1710,13032049.18,15385388.528427972,10678709.831572028,8913667.836,10624715.986548329,7202619.68545167,12939513.288,15246714.220280627,10632312.355719374
1810,13459595.362,15825154.430709746,11094036.293290254,10299689.96,12394675.9467784,8204703.973221603,13480337.644,15826259.427986294,11134415.860013705
1910,15165894.734,17977696.345027197,12354093.122972801,11078289.734,13540434.66221263,8616144.805787368,15459126.706,18302716.94414709,12615536.46785291
2000,14539544.04,17156982.348741278,11922105.731258718,11327510.0,13554863.487947674,9100156.512052326,14935084.438,17569667.177070364,12300501.698929634
