x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanObsNoise,upObsNoise,lowObsNoise,meanObsReplay,upObsReplay,lowObsReplay
10,1574830.66,2496132.906151068,653528.4138489319,1088749.34,1763095.5131001202,414403.16689988005,1574830.66,2496132.906151068,653528.4138489319
110,7475061.06,10251032.17350065,4699089.94649935,5693233.51,8435370.41379021,2951096.60620979,7475061.06,10251032.17350065,4699089.94649935
210,4220126.22,6415481.380217595,2024771.059782404,3300963.91,5169206.30141788,1432721.5185821205,4675644.13,7255943.85530507,2095344.4046949293
310,8462076.36,12003663.867784798,4920488.852215202,6976438.85,9505393.041602395,4447484.658397604,7899144.06,11059777.248826394,4738510.871173605
410,9744891.77,13957900.36651082,5531883.173489179,8011918.38,10878859.629802892,5144977.130197108,7662576.17,11469041.445951113,3856110.8940488864
510,11342120.86,16023490.10665008,6660751.613349919,10313639.96,14703518.821575433,5923761.098424569,8610046.36,12901541.372481396,4318551.347518602
610,12611000.63,17334237.754603393,7887763.505396606,10882962.7,14164675.950427398,7601249.449572601,7623862.3,10277315.957500137,4970408.642499861
710,11489807.55,14914635.079674587,8064980.020325414,8958664.13,11654687.602141406,6262640.657858595,7304024.09,9860832.657714367,4747215.522285633
810,10610842.85,14166395.95538273,7055289.744617268,8065253.23,10397977.481224574,5732528.978775426,7610243.14,10663042.042382335,4557444.237617664
910,11178743.6,15347262.613442894,7010224.586557106,10173125.38,13511855.588815466,6834395.171184536,8100595.89,11246077.0343955,4955114.7456045
1010,10782056.26,15041324.022853624,6522788.497146375,9689889.99,13129533.03741026,6250246.942589742,8008679.27,11141143.39304978,4876215.146950218
1110,9844459.67,13612883.660786781,6076035.679213218,9417048.83,12792330.49355767,6041767.16644233,8348576.2,11539851.78010505,5157300.619894949
1210,10799717.7,14398139.199628366,7201296.200371632,9606165.28,12886292.364292674,6326038.195707326,7889621.2,10575457.432026114,5203784.967973886
1310,10828846.47,14675792.810523706,6981900.129476296,10862663.52,14674483.244692096,7050843.795307903,8334874.98,11350495.264876552,5319254.695123448
1410,9917384.6,13357024.509098867,6477744.690901132,10366545.12,14579825.562785067,6153264.677214933,8755870.19,12296504.363762042,5215236.016237957
1510,10734978.4,14446142.96962943,7023813.830370572,10705093.68,15097751.065760067,6312436.294239933,10009359.12,14472440.416924953,5546277.823075045
1610,11236403.77,15634810.127052749,6837997.4129472505,10562099.29,15188273.121830879,5935925.458169119,9910178.87,14549006.11483571,5271351.625164288
1710,13250089.21,19147992.42640905,7352185.99359095,11172959.4,16121160.155184839,6224758.644815162,10606125.78,15510091.894317366,5702159.6656826325
1810,11593050.05,16770497.60688612,6415602.493113881,11608791.03,16705247.30533554,6512334.754664457,9736188.61,14688751.998110522,4783625.221889478
1910,11356278.82,15913050.83675066,6799506.80324934,11072414.33,15363547.418205313,6781281.241794686,10087687.49,14592929.324089728,5582445.655910272
2000,12046003.8,17479832.838012442,6612174.761987558,10603222.96,15622765.268587679,5583680.651412324,11276746.75,16539722.62910366,6013770.870896339
