x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanObsReplay,upObsReplay,lowObsReplay
10,2.3848325195,2.6554311859172333,2.114233853082767,1.8021946290000002,2.0310643581782672,1.573324899821733
110,17.7778306485,19.150479268464615,16.405182028535386,12.126691076499998,13.220673973823468,11.03270817917653
210,7.990639011500001,8.595917285711554,7.3853607372884476,5.0043550605,5.434520826093184,4.574189294906816
310,11.2218806,12.13436869603889,10.30939250396111,7.275486572,7.8971693961988585,6.653803747801142
410,13.566617043,14.681764564103661,12.45146952189634,8.782026154999999,9.625311417814828,7.9387408921851685
510,14.8307165465,16.034503906408197,13.626929186591802,10.2781198365,11.231025636463855,9.325214036536146
610,16.149757237,17.4950272598264,14.804487214173598,11.3572647075,12.446398365053671,10.26813104994633
710,15.693872359,16.961935899984546,14.425808818015454,11.1054993825,12.173818506140856,10.037180258859143
810,16.3511623315,17.65014225988803,15.052182403111967,11.986470933,13.077406719823362,10.895535146176638
910,16.069803436,17.335780077489556,14.803826794510446,11.673247825,12.741113317628066,10.605382332371935
1010,16.265518977,17.552608511263113,14.978429442736886,11.668878752500001,12.719390776649945,10.618366728350058
1110,16.6904649225,18.011059241267734,15.369870603732265,12.402050529,13.502121235594723,11.301979822405277
1210,16.288962579499998,17.573091732142508,15.004833426857488,12.114540809500001,13.206220300331637,11.022861318668365
1310,16.4071166125,17.714378701965654,15.099854523034347,12.2798666395,13.346079029630417,11.213654249369583
1410,15.993101726999999,17.28743034039618,14.698773113603815,11.929460875,12.989185720691271,10.86973602930873
1510,16.2404580525,17.542112979496356,14.938803125503641,12.09529748,13.200235262081952,10.990359697918047
1610,16.363262698,17.68777460539687,15.038750790603128,12.184009513000001,13.28098517620758,11.087033849792423
1710,16.013613185,17.293276835027427,14.733949534972576,12.155038603000001,13.280106664205741,11.029970541794262
1810,16.3273433175,17.644651983911146,15.010034651088851,12.419066004500001,13.562652264930213,11.27547974406979
1910,16.9111333795,18.245653938021114,15.57661282097889,12.942010721,14.101466577612243,11.782554864387759
2000,16.45752083,17.774428153818196,15.140613506181804,12.232074046,13.333759121233346,11.130388970766653
