x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanCapacityDeflate,upCapacityDeflate,lowCapacityDeflate,meanDemandDeflate,upDemandDeflate,lowDemandDeflate,meanObsNoise,upObsNoise,lowObsNoise,meanObsReplay,upObsReplay,lowObsReplay
10,692030.62,1123408.3346499174,260652.9053500826,708764.15,1148957.8683768408,268570.4316231591,691500.33,1122550.4273003773,260450.23269962257,581678.45,962331.3084544039,201025.59154559596,692030.62,1123408.3346499174,260652.9053500826
110,7857414.91,11321211.037543224,4393618.782456776,7713444.79,11200908.149303965,4225981.430696035,7641620.0,10915370.084041366,4367869.915958634,4450016.1,6198959.053715087,2701073.1462849127,7857414.91,11321211.037543224,4393618.782456776
210,4062614.39,5971263.853389168,2153964.926610832,4679645.95,6668083.107855571,2691208.7921444294,4142992.04,6054329.53018317,2231654.5498168296,2904769.32,4226435.114193079,1583103.5258069206,4296461.91,6098772.341656485,2494151.4783435157
310,7924723.09,11151249.04858859,4698197.131411409,7725399.7,10341034.45633441,5109764.94366559,7930966.91,11157952.586064942,4703981.233935058,6266503.17,9274619.593306527,3258386.7466934733,6360683.1,8686891.051681038,4034475.148318962
410,10685837.88,14670495.563238442,6701180.196761561,10518329.15,14576286.53606373,6460371.763936271,10685025.57,14669017.408390608,6701033.731609394,7248068.29,10129850.38969017,4366286.19030983,6532458.53,9128039.650452515,3936877.409547486
510,10405695.03,14472734.147289883,6338655.912710115,10504085.45,14649357.191651167,6358813.708348831,10417568.97,14484442.644763779,6350695.295236222,9894517.61,14204306.895809678,5584728.32419032,8549820.41,11970177.226673806,5129463.593326194
610,11143943.22,15916120.07478946,6371766.365210541,12075615.77,17516916.993181504,6634314.546818497,10932603.63,15654782.656590696,6210424.603409305,10352077.5,14542878.542631939,6161276.457368061,8223223.69,12187236.216063282,4259211.163936719
710,11414261.03,16012911.843849096,6815610.216150901,12018712.47,16770153.983672142,7267270.956327858,11164781.58,15691581.544831738,6637981.615168263,8658488.68,12389513.818932185,4927463.541067814,8792508.45,12856168.105413305,4728848.794586694
810,11770482.92,16402841.036803624,7138124.803196376,11681349.49,16244537.23355106,7118161.74644894,11134686.37,15516469.680454213,6752903.059545785,9028571.6,12698153.119751748,5358990.080248251,7551832.09,10889838.694211258,4213825.485788742
910,11802727.06,16247334.982234128,7358119.137765873,11874291.66,16357546.254987903,7391037.065012096,11766689.06,16182390.960745618,7350987.159254383,9575565.12,13659970.626477964,5491159.613522033,9243026.09,13223651.985342104,5262400.194657895
1000,11440122.55,15706373.94299831,7173871.157001691,10786855.31,15110421.597181628,6463289.0228183735,11429497.55,15728181.603634674,7130813.496365327,11384071.36,15906824.137887016,6861318.582112982,10435865.96,15086647.555472739,5785084.364527262
