step_M,oracle_raw,oracle_smooth,local_raw,local_smooth
0.059392,17245.751953,20843.344434,2715.834473,12387.774512
0.118784,9009.781250,19336.547674,9362.168945,11904.311879
0.178176,17512.822266,18136.337809,22001.564453,12221.901693
0.237568,21985.150391,17299.733136,13958.403320,12558.272085
0.296960,10035.625977,16502.148856,13931.156250,12895.769810
0.356352,45960.199219,15915.303483,10565.946289,12909.475260
0.415744,50259.160156,15482.281525,6922.136230,12859.327820
0.475136,13923.228516,14818.040269,13001.598633,13996.634823
0.534528,14063.833008,14181.625448,16930.500000,14274.311578
0.593920,8437.891602,13495.688342,14488.436523,13717.727693
0.653312,4268.580078,12880.979810,7069.685547,13438.474121
0.712704,4934.029297,12364.424268,15715.389648,13940.766772
0.772096,7260.477051,12318.033276,16594.716797,14456.772681
0.831488,6133.553223,11702.979077,17283.240234,14170.806323
0.890880,7699.468262,10734.118787,13101.351562,13663.927686
0.950272,8986.952148,10339.136084,12107.116211,13221.323413
1.009664,4190.180176,8609.158936,32193.546875,13072.327002
1.069056,3362.573486,6354.530103,18994.816406,13336.670483
1.128448,1148.820435,5677.979509,3699.217773,13185.484497
1.187840,1201.517700,5051.878947,8132.656250,12717.456616
1.247232,6914.641113,5404.197551,12761.687500,12840.968872
1.306624,8081.961426,5577.595158,19682.287109,13135.528687
1.366016,5211.738281,5786.622649,16282.237305,12513.716687
1.425408,2607.944580,5723.825847,3820.830566,12028.147668
1.484800,2135.971924,5637.161223,5079.070801,11317.008643
1.544192,11360.656250,5840.473064,7586.018066,10818.950952
1.603584,5166.583496,5978.579655,12209.005859,10686.933179
1.662976,392.216644,5829.127788,9977.878906,9446.364307
1.722368,1541.821777,6560.790227,7569.942383,8827.195972
1.781760,15484.263672,6984.430699,16958.681641,8789.099768
1.841152,7736.532227,7076.231828,12960.881836,8614.151599
1.900544,9114.579102,6896.669780,3279.149658,8227.600525
1.959936,6004.541016,6779.897490,6883.336426,7332.767041
2.019328,4400.260742,6830.482207,3060.459717,6709.914258
2.078720,11765.705078,6926.809660,3140.197754,6698.600977
2.138112,11749.083984,7324.609209,9466.760742,6582.608057
